"gene_id","scer_gene_name","functional_category","category_order","name_raw","desc_raw"
"YPL212C","PUS1","Translation / Ribosome",3,"YPL212C   PUS1       TRNA PROCESSING                         PSEUDOURIDINE SYNTHASE                  S0006133","TRNA PROCESSING PSEUDOURIDINE SYNTHASE S0006133"
"YNL292W","PUS4","Translation / Ribosome",3,"YNL292W   PUS4       TRNA PROCESSING                         PSEUDOURIDINE SYNTHASE                  S0005236","TRNA PROCESSING PSEUDOURIDINE SYNTHASE S0005236"
"YNL002C","RLP7","Translation / Ribosome",3,"YNL002C   RLP7       PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L7 (PUTATIVE)         S0004947","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L7 (PUTATIVE) S0004947"
"YMR239C","RNT1","Translation / Ribosome",3,"YMR239C   RNT1       RRNA PROCESSING                         RIBONUCLEASE III                        S0004852","RRNA PROCESSING RIBONUCLEASE III S0004852"
"YGL171W","ROK1","Translation / Ribosome",3,"YGL171W   ROK1       RRNA PROCESSING                         RNA HELICASE                            S0003139","RRNA PROCESSING RNA HELICASE S0003139"
"YBR079C","RPG1","Translation / Ribosome",3,"YBR079C   RPG1       PROTEIN SYNTHESIS                       TRANSLATION INITIATION FACTOR EIF3      S0000283","PROTEIN SYNTHESIS TRANSLATION INITIATION FACTOR EIF3 S0000283"
"YLR075W","RPL10","Translation / Ribosome",3,"YLR075W   RPL10      PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L10                   S0004065","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L10 S0004065"
"YPR102C","RPL11A","Translation / Ribosome",3,"YPR102C   RPL11A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L11A                  S0006306","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L11A S0006306"
"YGR085C","RPL11B","Translation / Ribosome",3,"YGR085C   RPL11B     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L11B                  S0003317","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L11B S0003317"
"YEL054C","RPL12A","Translation / Ribosome",3,"YEL054C   RPL12A     PROTEIN SYNTHESIS                       RIBOSOMAL PROTEIN L12A                  S0000780","PROTEIN SYNTHESIS RIBOSOMAL PROTEIN L12A S0000780"
