"gene_id","name_raw","gene_name","desc_raw","scer_gene_name","functional_category","category_order"
"YDL143W","YDL143W   CCT4       PROTEIN FOLDING                         CYTOPLASMIC CHAPERONIN SUBUNIT          S0002302","CCT4","PROTEIN FOLDING CYTOPLASMIC CHAPERONIN SUBUNIT S0002302","CCT4","Protein folding / QC",2
"YJR064W","YJR064W   CCT5       PROTEIN TARGETING                       CYTOPLASMIC CHAPERONIN COMPLEX          S0003825","CCT5","PROTEIN TARGETING CYTOPLASMIC CHAPERONIN COMPLEX S0003825","CCT5","Protein folding / QC",2
"YMR173W","YMR173W   DDR48      UNKNOWN                                 INDUCED BY DNA DAMAGE, HEAT SHOCK, OR OSS0004784","DDR48","UNKNOWN INDUCED BY DNA DAMAGE, HEAT SHOCK, OR OSS0004784","DDR48","Protein folding / QC",2
"YLR449W","YLR449W   FPR4       PROTEIN FOLDING (PUTATIVE)              SIMILAR TO PEPTIDYL-PROLYL CIS-TRANS ISOS0004441","FPR4","PROTEIN FOLDING (PUTATIVE) SIMILAR TO PEPTIDYL-PROLYL CIS-TRANS ISOS0004441","FPR4","Protein folding / QC",2
"YNL153C","YNL153C   GIM3       PROTEIN FOLDING                         PREFOLDIN SUBUNIT 4                     S0005097","GIM3","PROTEIN FOLDING PREFOLDIN SUBUNIT 4 S0005097","GIM3","Protein folding / QC",2
"YLL026W","YLL026W   HSP104     HEAT SHOCK RESPONSE /THERMOTOLERANCE    HEAT SHOCK PROTEIN                      S0003949","HSP104","HEAT SHOCK RESPONSE /THERMOTOLERANCE HEAT SHOCK PROTEIN S0003949","HSP104","Protein folding / QC",2
"YFL014W","YFL014W   HSP12      GLUCOSE AND LIPID UTILIZATION           HEAT SHOCK PROTEIN                      S0001880","HSP12","GLUCOSE AND LIPID UTILIZATION HEAT SHOCK PROTEIN S0001880","HSP12","Protein folding / QC",2
"YDR171W","YDR171W   HSP42      CYTOSKELETON ASSEMBLY                   HEAT SHOCK PROTEIN, SIMILAR TO HSP26    S0002578","HSP42","CYTOSKELETON ASSEMBLY HEAT SHOCK PROTEIN, SIMILAR TO HSP26 S0002578","HSP42","Protein folding / QC",2
"YDR258C","YDR258C   HSP78      PROTEIN FOLDING                         MITOCHONDRIAL                           S0002666","HSP78","PROTEIN FOLDING MITOCHONDRIAL S0002666","HSP78","Protein folding / QC",2
"YKL103C","YKL103C   LAP4       PROTEIN DEGRADATION                     VACUOLAR AMINOPEPTIDASE YSC1            S0001586","LAP4","PROTEIN DEGRADATION VACUOLAR AMINOPEPTIDASE YSC1 S0001586","LAP4","Protein folding / QC",2
"YMR174C","YMR174C   PAI3       OSMOTIC STRESS RESPONSE                 PROTEASE A (YSCA) INHIBITOR IA3         S0004786","PAI3","OSMOTIC STRESS RESPONSE PROTEASE A (YSCA) INHIBITOR IA3 S0004786","PAI3","Protein folding / QC",2
"YNL015W","YNL015W   PBI2       UNKNOWN                                 PROTEASE INHIBITOR                      S0004960","PBI2","UNKNOWN PROTEASE INHIBITOR S0004960","PBI2","Protein folding / QC",2
"YHR064C","YHR064C   PDR13      DRUG RESISTANCE                         HSP70 HOMOLOG                           S0001106","PDR13","DRUG RESISTANCE HSP70 HOMOLOG S0001106","PDR13","Protein folding / QC",2
"YPL154C","YPL154C   PEP4       PROTEIN DEGRADATION                     VACUOLAR ASPARTYL PROTEASE              S0006075","PEP4","PROTEIN DEGRADATION VACUOLAR ASPARTYL PROTEASE S0006075","PEP4","Protein folding / QC",2
"YEL060C","YEL060C   PRB1       PROTEIN DEGRADATION                     VACUOLAR PROTEASE B                     S0000786","PRB1","PROTEIN DEGRADATION VACUOLAR PROTEASE B S0000786","PRB1","Protein folding / QC",2
"YBL075C","YBL075C   SSA3       ER AND MITOCHONDRIAL TRANSLOCATION      CYTOSOLIC HSP70                         S0000171","SSA3","ER AND MITOCHONDRIAL TRANSLOCATION CYTOSOLIC HSP70 S0000171","SSA3","Protein folding / QC",2
