gene_id,scer_gene_name,functional_category,category_order,desc_raw
YBL068W,PRS4,Other,11,PENTOSE PHOSPHATE CYCLE RIBOSE-PHOSPHATE PYROPHOSPHOKINASE S0000164
YMR308C,PSE1,Other,11,NUCLEAR PROTEIN TARGETING BETA-KARYOPHERIN S0004925
YMR139W,RIM11,Other,11,MEIOSIS PROTEIN KINASE S0004747
YOR095C,RKI1,Other,11,PENTOSE PHOSPHATE CYCLE RIBOSE-5-PHOSPHATE KETOL-ISOMERASE S0005621
YMR235C,RNA1,Other,11,RNA EXPORT GTPASE ACTIVATING PROTEIN FOR GSP1P S0004848
YLR406C,RPL31B,Other,11,
YDL184C,RPL41A,Other,11,
YPL131W,RPL5,Other,11,
YDL130W,RPP1B,Other,11,
YHL015W,RPS20,Other,11,
YIL069C,RPS24B,Other,11,
YGR152C,RSR1,Other,11,"BUD SITE SELECTION GTP-BINDING PROTEIN, RAS SUPERFAMILY S0003384"
YDL153C,SAS10,Other,11,"SILENCING NUCLEAR PROTEIN, REULATOR OF SILENCING AS0002312"
YKL193C,SDS22,Other,11,GLUCOSE REPRESSION GLC7P REGULATORY SUBUNIT S0001676
YFL045C,SEC53,Other,11,PROTEIN GLYCOSYLATION PHOSPHOMANNOMUTASE S0001849
YIL099W,SGA1,Other,11,"SPORULATION GLUCAN 1,4-ALPHA-GLUCOSIDASE S0001361"
YLR336C,SGD1,Other,11,SIGNALING (PUTATIVE) HIGH OSMOLARITY PATHWAY S0004328
YJL164C,SRA3,Other,11,SIGNALING CAMP-DEPENDENT PROTEIN KINASE SUBUNIT S0003700
YGL097W,SRM1,Other,11,NUCLEAR TARGETING; MATING GDP/GTP EXCHANGE FACTOR FOR GSP1P/GSP2P S0003065
YCL037C,SRO9,Other,11,CYTOSKELETON ACTIN FILAMENT ORGANIZATION S0000542
YDR312W,SSF2,Other,11,SIGNALING (PUTATIVE) SUPPRESSES G-PROTEIN BETA SUBUNIT MUTATIS0002720
YPR074C,TKL1,Other,11,PENTOSE PHOSPHATE CYCLE TRANSKETOLASE S0006278
YGR194C,XKS1,Other,11,XYLULOSE UTILIZATION XYLULOKINASE S0003426
YJL141C,YAK1,Other,11,SIGNALING SERINE-THREONINE PROTEIN KINASE S0003677
YIL113W,YIL113W,Other,11,PROTEIN PHOSPHATASE S0001375
YIL120W,YIL120W,Other,11,MAJOR FACILITATOR SUPERFAMILY S0001382
YKL078W,YKL078W,Other,11,PUTATIVE RNA HELICASE S0001561
YMR253C,YMR253C,Other,11,MAJOR FACILITATOR SUPERFAMILY S0004866
