Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
NA,YCR035C,NA,NA,RRP43,Translation / Ribosome,3
NA,YDR280W,NA,NA,RRP45,Translation / Ribosome,3
NA,YMR229C,NA,NA,RRP5,Translation / Ribosome,3
NA,YOR001W,NA,NA,RRP6,Translation / Ribosome,3
NA,YCL031C,NA,NA,RRP7,Translation / Ribosome,3
NA,YOR294W,NA,NA,RRS1,Translation / Ribosome,3
NA,YDR023W,NA,NA,SES1,Translation / Ribosome,3
NA,YLR197W,NA,NA,SIK1,Translation / Ribosome,3
NA,YGR195W,NA,NA,SKI6,Translation / Ribosome,3
NA,YLL011W,NA,NA,SOF1,Translation / Ribosome,3
NA,YCL054W,NA,NA,SPB1,Translation / Ribosome,3
NA,YFL002C,NA,NA,SPB4,Translation / Ribosome,3
NA,YIR012W,NA,NA,SQT1,Translation / Ribosome,3
NA,YNL209W,NA,NA,SSB2,Translation / Ribosome,3
NA,YGL169W,NA,NA,SUA5,Translation / Ribosome,3
NA,YJR007W,NA,NA,SUI2,Translation / Ribosome,3
NA,YPL237W,NA,NA,SUI3,Translation / Ribosome,3
NA,YDR172W,NA,NA,SUP35,Translation / Ribosome,3
NA,YBR143C,NA,NA,SUP45,Translation / Ribosome,3
NA,YPR080W,NA,NA,TEF1,Translation / Ribosome,3
NA,YBR118W,NA,NA,TEF2,Translation / Ribosome,3
NA,YKL081W,NA,NA,TEF4,Translation / Ribosome,3
NA,YIL078W,NA,NA,THS1,Translation / Ribosome,3
NA,YKR059W,NA,NA,TIF1,Translation / Ribosome,3
NA,YJL138C,NA,NA,TIF2,Translation / Ribosome,3
NA,YPR163C,NA,NA,TIF3,Translation / Ribosome,3
NA,YMR146C,NA,NA,TIF34,Translation / Ribosome,3
NA,YDR429C,NA,NA,TIF35,Translation / Ribosome,3
NA,YPR041W,NA,NA,TIF5,Translation / Ribosome,3
NA,YPR016C,NA,NA,TIF6,Translation / Ribosome,3
NA,YDR120C,NA,NA,TRM1,Translation / Ribosome,3
NA,YGR185C,NA,NA,TYS1,Translation / Ribosome,3
NA,YGR094W,NA,NA,VAS1,Translation / Ribosome,3
NA,YOL097C,NA,NA,WRS1,Translation / Ribosome,3
NA,YLR249W,NA,NA,YEF3,Translation / Ribosome,3
NA,YGR201C,NA,NA,YGR201C,Translation / Ribosome,3
NA,YHR020W,NA,NA,YHR020W,Translation / Ribosome,3
NA,YMR155W,NA,NA,YMR155W,Translation / Ribosome,3
NA,YOR276W,NA,NA,CAF20,Gene expression (RNA),4
NA,YDR440W,NA,NA,DOT1,Gene expression (RNA),4
NA,YPL037C,NA,NA,EGD1,Gene expression (RNA),4
NA,YMR277W,NA,NA,FCP1,Gene expression (RNA),4
NA,YBR142W,NA,NA,MAK5,Gene expression (RNA),4
NA,YKL009W,NA,NA,MRT4,Gene expression (RNA),4
NA,YJL050W,NA,NA,MTR4,Gene expression (RNA),4
NA,YHR170W,NA,NA,NMD3,Gene expression (RNA),4
NA,YER165W,NA,NA,PAB1,Gene expression (RNA),4
NA,YGL120C,NA,NA,PRP43,Gene expression (RNA),4
NA,YJR063W,NA,NA,RPA12,Gene expression (RNA),4
NA,YPR010C,NA,NA,RPA135,Gene expression (RNA),4
NA,YJL148W,NA,NA,RPA34,Gene expression (RNA),4
NA,YNL248C,NA,NA,RPA49,Gene expression (RNA),4
NA,YOR210W,NA,NA,RPB10,Gene expression (RNA),4
NA,YIL021W,NA,NA,RPB3,Gene expression (RNA),4
NA,YBR154C,NA,NA,RPB5,Gene expression (RNA),4
NA,YOR224C,NA,NA,RPB8,Gene expression (RNA),4
NA,YGL070C,NA,NA,RPB9,Gene expression (RNA),4
NA,YNL113W,NA,NA,RPC19,Gene expression (RNA),4
NA,YKL144C,NA,NA,RPC25,Gene expression (RNA),4
NA,YNL151C,NA,NA,RPC31,Gene expression (RNA),4
NA,YNR003C,NA,NA,RPC34,Gene expression (RNA),4
NA,YPR110C,NA,NA,RPC40,Gene expression (RNA),4
NA,YDL150W,NA,NA,RPC53,Gene expression (RNA),4
NA,YPR190C,NA,NA,RPC82,Gene expression (RNA),4
NA,YPR187W,NA,NA,RPO26,Gene expression (RNA),4
NA,YGL208W,NA,NA,SIP2,Gene expression (RNA),4
NA,YEL026W,NA,NA,SNU13,Gene expression (RNA),4
NA,YKR092C,NA,NA,SRP40,Gene expression (RNA),4
NA,YDL084W,NA,NA,SUB2,Gene expression (RNA),4
NA,YGR162W,NA,NA,TIF4631,Gene expression (RNA),4
NA,YCR072C,NA,NA,YCR072C,Gene expression (RNA),4
NA,YJL103C,NA,NA,YJL103C,Gene expression (RNA),4
NA,YDL051W,NA,NA,YLA1,Gene expression (RNA),4
NA,YPR144C,NA,NA,YPR144C,Gene expression (RNA),4
NA,YLR175W,NA,NA,CBF5,Genome / Cell cycle,5
NA,YGL029W,NA,NA,CGR1,Genome / Cell cycle,5
NA,YDR254W,NA,NA,CHL4,Genome / Cell cycle,5
NA,YPL086C,NA,NA,HPA1,Genome / Cell cycle,5
NA,YER142C,NA,NA,MAG1,Genome / Cell cycle,5
NA,YGL087C,NA,NA,MMS2,Genome / Cell cycle,5
NA,YDR097C,NA,NA,MSH6,Genome / Cell cycle,5
