gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0180,t0240,t0360,t0480
GWK60_I01925,0,0,0,0,0,0,0,0,0,1.1085830798791352
GWK60_I01969,0,0,-1.0347221697932911,-2.568147789916462,-1.9063470076038171,-1.3977790071897598,0,0,0,0
GWK60_I02013,0,0,0,0,0,0,0,-1.0744855115193246,-1.2533780075116927,-1.270099944230539
GWK60_I02035,0,0,0,1.4148385391637883,1.6617401925649529,1.5662708886678296,1.1103826413229063,0,0,0
GWK60_I02079,0,0,0,0,0,0,-1.017961215687138,-1.1446103251310844,-1.084131693861673,-1.092740066381402
GWK60_I02123,0,2.543361403864441,0,-1.2920817528300392,-3.1641613842013747,-3.3783637909280944,-4.025602692382038,-3.985110442764664,-3.664586302231987,-3.376430230948313
GWK60_I02145,0,0,0,0,-1.0094545165450646,0,0,0,0,0
GWK60_I02233,-2.9027744971485667,-4.6659720174169435,-4.571542086426275,-4.5649037254464915,-4.53578846229488,-4.589398127631178,-4.933330157761923,-4.798666092121704,-4.5700012040602624,-4.146172183749857
GWK60_I02255,0,0,1.1802266577020504,1.311212815429635,1.3236704880669885,1.092295067544059,0,0,0,0
GWK60_I02277,0,0,0,0,0,0,0,0,-1.2899357821921804,-1.421955478174139
GWK60_I02299,0,-1.4907280536514529,0,0,0,0,0,0,0,0
GWK60_I02321,0,0,0,0,0,0,-1.438842800590424,-1.8094990046011907,-2.0266011914578352,-2.1295215348998022
GWK60_I02475,0,0,0,0,0,0,1.362669442856223,1.2218748607044048,1.3100628268417682,1.626086447846232
GWK60_I02497,0,0,0,0,1.2502887989231988,1.6503632393754726,1.8179781955515093,1.737147825951261,1.768292886825657,1.7725869372710714
GWK60_I02607,0,0,0,0,-1.089469243965028,0,0,0,0,0
GWK60_I02629,1.4395033304002876,0,2.0932892185879854,2.9103116044723674,3.2329669667886525,3.1132560038849784,2.3992902520313777,1.9943917533828741,1.7617116504278725,1.3623084513842736
GWK60_I02717,1.1176016131850368,0,1.0469956872752022,1.5435122514270083,1.6771471453540825,1.6649301851089395,1.212933105638118,0,0,0
GWK60_I02739,0,0,0,2.399056625769601,3.2008586772856313,3.385854033002266,2.888921849016992,2.2701444932482007,2.5706767852377292,2.5247351444304256
GWK60_I02783,0,0,0,-1.6048101087061946,-1.3605561782746265,-1.2407117413100175,-1.0152696601190825,0,0,0
GWK60_I02849,0,2.4029621247922965,2.745524176949769,2.447217662533281,1.583022745585709,0,0,1.6653499581818223,1.7975988668706333,1.9033657682537353
GWK60_I02915,0,0,0,2.294275779286118,1.73569049055783,0,0,1.5467569779382973,1.766588300070772,0
GWK60_I02937,0,0,1.1802926317982585,0,0,0,0,0,0,0
GWK60_I02959,0,0,0,0,0,0,0,0,0,1.0380724721064032
GWK60_I02981,-2.2571846747630087,-4.193819703246344,-4.649818199871392,-3.4738813369435064,-2.910496863508975,-3.211624498664491,-3.1624657636345215,-2.6768523307013923,-2.4534026936652773,-2.1949712934367356
GWK60_I03025,0,0,-1.4258047476503226,-3.5178655415699778,-2.580495877206529,-1.731651073479097,0,0,0,0
GWK60_I03069,0,0,0,-1.0934813419877214,-1.486263137539284,-1.554269465961866,-1.5372304080041088,-1.530318700718149,-1.4316664979043945,-1.5592005199064904
GWK60_I03091,0,0,0,1.4705591266317526,1.3749058968225882,1.095122035020026,0,0,0,0
GWK60_I03135,0,0,0,-1.023069417886438,-1.5494857930742438,0,0,0,0,0
GWK60_I03157,0,0,0,-2.334795357713112,-2.1347068008908803,-1.2906878969610838,0,0,0,0
GWK60_I03179,0,0,0,-1.5752347973755236,-1.2670585974959314,0,0,0,0,0
GWK60_I03201,0,0,0,-1.234449902349627,0,0,1.0287761841739662,1.0006516525171665,1.0722574730372183,1.0810132795951646
GWK60_I03223,0,0,0,0,-1.0980641779702365,0,0,0,0,0
GWK60_I03289,0,0,0,-2.328645282774057,-2.311657380431058,-1.992708336428316,-1.34165066683286,-1.2913099695905754,-1.1289793672053123,-1.1437732574121584
GWK60_I03311,0,0,0,1.1648629006408608,1.4071020396112628,1.239034918937122,0,0,0,0
GWK60_I03355,2.3331365717487618,1.3223560679199693,3.1838040668232988,4.445237560771287,5.299725305046438,5.482227217322797,5.277430832711865,5.247138899614395,5.372051152980289,5.587428373837851
GWK60_I03377,0,0,0,1.6726334548303332,2.036093989015945,2.1662422046634395,1.9163876476061936,1.824021895216452,1.7885952129605187,1.9178433549287237
GWK60_I03421,0,0,-1.0901595559592847,-2.0747729605608294,-1.5018030113290453,-1.21740691535901,0,0,0,0
GWK60_I03465,0,0,0,1.000468727335949,0,1.104529985775799,0,0,0,0
GWK60_I03487,0,1.1444289006718054,0,-4.393808510972747,-3.935473134453457,-2.810344496173115,-1.401800665958769,0,0,0
GWK60_I03509,0,0,-1.0364155416181438,-3.381632946587552,-3.055310020909872,-2.329716519753535,-1.2538822550260071,-1.1076419596400369,-1.115810030523919,-1.28743290844311
GWK60_I03531,0,0,0,0,1.4128940387157316,1.6007120735287388,1.485696006500141,1.3966352801989534,1.474663612341842,1.5847220335347827
GWK60_I03685,0,0,0,0,0,0,-1.1410804165934212,-1.1056679866684933,-1.0977397181131514,-1.1040228280137434
GWK60_I03795,0,-1.5626011182647153,1.386390470028216,2.5868899977018445,2.708496447133483,2.6698401039881308,2.255621177491696,2.002615730133805,2.0252019916183976,2.1218185877479763
GWK60_I03817,0,0,0,-1.3984067797146882,-1.941483206586741,-1.8984608096028637,-1.5237058846024742,-1.4747361702779973,-1.5587646796451975,-1.635276287599596
GWK60_I03883,0,0,0,-2.378062271215516,-2.4689660606468187,-2.1401840414434923,-1.496882748686659,-1.144399304235071,0,0
GWK60_I03971,0,0,0,1.1412242484672883,0,0,-1.603279097425658,-1.647048341053346,-1.5332743027756397,-1.3728114736664676
GWK60_I04037,0,0,0,-3.969807864769737,-4.744084067943121,-3.742528405031246,-2.2932637299939005,-1.957573903727534,-1.842137731803635,-2.06490024625191
GWK60_I04081,-1.3885283607918184,-1.5799966574360984,0,0,0,0,0,0,0,0
GWK60_I04103,0,0,0,-2.3790824973809572,-1.778090393948934,-1.1101757675596209,0,0,0,0
GWK60_I04213,0,-1.2845461309651436,0,0,0,0,-1.5334661807725558,-1.6706353522065522,-1.8967062881418515,-1.9708816481411668
GWK60_I04257,0,0,0,0,0,0,0,0,0,1.000720987530274
GWK60_I04367,0,0,0,1.3046940557075557,0,0,0,0,0,0
GWK60_I04433,0,0,0,0,1.615193183652916,1.881155501418794,2.4079517954697347,2.7552071269759253,3.0114976750710123,2.9591467645833247
GWK60_I04499,0,0,0,1.2744596614011412,1.493788781938208,1.4869030635901792,1.247937254300498,0,0,0
GWK60_I04565,0,0,0,0,0,-1.5270867975890774,-1.0561250097789008,-1.0724276461214153,-1.1994838901142808,-1.690125445097011
GWK60_I04653,0,0,0,-1.8644238864121496,-1.692869470314245,-1.061104133090442,0,0,0,0
GWK60_I04675,0,0,0,-1.002864282782041,0,0,0,0,0,0
GWK60_I04697,0,0,0,-1.625625764081582,0,0,0,0,1.1260284944425367,1.2929115669455034
GWK60_I04741,0,0,0,-1.985499029694896,-2.087913824519286,-1.8810620748019151,-1.4519380737687098,-1.3326635396611135,0,-1.4836207748459995
GWK60_I04763,0,0,0,1.1281130805906838,1.529776470435356,1.4785971891470973,0,0,0,0
GWK60_I04785,0,0,0,1.2883485006993889,1.467679424286059,1.4251962661797593,1.1282101960350714,1.028651467527914,1.1462624742779697,1.044051129554562
