tx	gene_id	Cgla.t0000.b1.L001	Cgla.t0000.b1.L002	Cgla.t0000.b4.L001	Cgla.t0000.b4.L002	Cgla.t0015.b1.L001	Cgla.t0015.b1.L002	Cgla.t0015.b2.L001	Cgla.t0015.b2.L002	Cgla.t0030.b1.L001	Cgla.t0030.b1.L002	Cgla.t0030.b2.L001	Cgla.t0030.b2.L002	Cgla.t0045.b1.L001	Cgla.t0045.b1.L002	Cgla.t0045.b2.L001	Cgla.t0045.b2.L002	Cgla.t0060.b1.L001	Cgla.t0060.b1.L002	Cgla.t0060.b2.L001	Cgla.t0060.b2.L002	Cgla.t0090.b1.L001	Cgla.t0090.b1.L002	Cgla.t0090.b2.L001	Cgla.t0090.b2.L002	Cgla.t0120.b1.L001	Cgla.t0120.b1.L002	Cgla.t0120.b2.L001	Cgla.t0120.b2.L002	Cgla.t0180.b1.L001	Cgla.t0180.b1.L002	Cgla.t0180.b2.L001	Cgla.t0180.b2.L002	Cgla.t0240.b1.L001	Cgla.t0240.b1.L002	Cgla.t0240.b2.L001	Cgla.t0240.b2.L002	Cgla.t0360.b1.L001	Cgla.t0360.b1.L002	Cgla.t0360.b2.L001	Cgla.t0360.b2.L002	Cgla.t0480.b1.L001	Cgla.t0480.b1.L002	Cgla.t0480.b2.L001	Cgla.t0480.b2.L002
rna-gnl|PRJNA600925|mrna.GWK60_I01287	gene-GWK60_I01287	63.887233	63.830307	67.439014	67.012377	91.128979	89.025413	85.146934	86.92637	31.211048	34.044943	28.691384	29.50231	43.291855	47.163974	48.306791	48.296958	87.622697	85.26198	91.318041	86.82111	61.689356	59.458236	58.728341	64.474456	73.542945	74.287941	78.177075	82.699334	99.939672	100.80688	102.428074	101.048518	101.032831	96.556884	104.532404	102.750696	78.420073	81.56754	86.117886	87.064943	60.789962	54.12095	54.882085	53.009163
rna-gnl|PRJNA600925|mrna.GWK60_I01309	gene-GWK60_I01309	636.689256	629.650612	634.765938	627.109093	1278.322756	1300.956258	1233.885394	1253.403822	328.597368	326.598122	303.703614	289.040006	362.797669	373.138495	362.377931	356.915522	1405.26794	1408.036125	1412.448598	1388.056945	1920.683737	1960.590481	1927.104163	1876.764692	2100.804592	2080.699137	1948.640035	1986.782473	2160.88022	2140.970819	1581.999444	1582.115108	1446.71399	1464.786704	1347.918378	1347.713204	1274.915572	1259.270383	1272.290095	1270.100459	1256.635848	1243.739304	1362.790629	1346.452953
rna-gnl|PRJNA600925|mrna.GWK60_I01331	gene-GWK60_I01331	37.903847	41.390831	42.532381	43.201879	51.300009	51.762441	49.091449	46.470933	26.299953	26.531176	21.602776	24.239259	89.412307	88.131712	94.354571	93.739741	161.492	165.944306	170.922408	173.46506	194.210494	192.451726	198.032449	191.846739	185.445404	187.105476	187.398332	185.94816	142.673991	143.037098	172.058166	170.485412	164.281003	161.047589	150.940985	156.6033	142.737851	142.297986	154.868611	152.244521	173.739192	184.184582	157.499521	156.334791
rna-gnl|PRJNA600925|mrna.GWK60_I01353	gene-GWK60_I01353	198.444947	208.475238	209.597763	218.65559	196.669359	206.470079	184.198619	182.135491	178.632491	192.014519	161.374742	154.106653	298.557943	308.709124	323.627748	284.654986	332.690088	291.413288	285.816927	289.978359	183.425173	166.591759	182.317022	161.686505	159.625116	157.992469	153.347064	150.090124	100.197734	92.542681	139.830296	127.522853	129.903552	123.543459	132.191576	145.056069	111.276271	126.119885	124.996958	139.445194	123.803477	141.849343	121.098704	128.231692
rna-gnl|PRJNA600925|mrna.GWK60_I01375	gene-GWK60_I01375	49.731798	40.091882	36.905454	42.446891	38.39173	42.911321	35.579397	37.019459	38.115546	38.503676	27.836902	28.204392	126.040914	121.791322	112.611292	126.235709	167.143997	191.997138	177.555923	175.722909	180.166638	138.978167	135.036676	155.051918	207.144275	194.242501	185.93907	183.999887	216.840806	189.570966	245.36744	187.251099	209.600969	181.509916	208.401674	199.145305	199.034779	214.777569	182.020304	140.450683	196.38333	176.450581	243.298399	233.487674
rna-gnl|PRJNA600925|mrna.GWK60_I01397	gene-GWK60_I01397	100.204363	104.528979	107.57649	104.576645	66.259731	68.419592	65.383688	67.319798	132.090565	133.736609	122.411223	118.503844	158.604314	164.422798	161.555763	167.814415	129.680138	120.054986	132.128704	136.66596	107.424166	99.362224	105.804524	112.71925	118.995454	120.193954	112.686696	115.50673	129.590391	132.663705	119.759965	117.980829	118.185512	120.922399	120.609999	114.652789	115.661527	108.454495	103.514198	112.123042	88.633008	91.029401	94.027554	95.795106
rna-gnl|PRJNA600925|mrna.GWK60_I01419	gene-GWK60_I01419	38.333269	36.018248	41.150534	41.723812	64.783407	66.394909	62.156087	61.160679	42.939114	40.960084	40.712042	43.321844	141.885557	137.71816	140.557495	144.638926	240.560989	239.336479	249.747698	253.543214	310.40969	309.023825	314.151054	305.358472	322.813477	340.362495	323.869927	333.170111	277.572477	284.338358	304.467774	321.587115	286.307511	290.681049	286.807856	281.502242	265.810475	269.022262	278.85849	277.650687	285.437219	268.838651	261.174671	260.616089
rna-gnl|PRJNA600925|mrna.GWK60_I01441	gene-GWK60_I01441	16.312169	17.178218	17.276118	18.109783	20.394416	17.895983	19.663114	20.047848	19.502391	18.004043	15.9468	18.155192	29.176695	29.965258	30.326881	30.561444	39.435993	41.143514	40.541503	38.184915	50.607355	46.400451	46.025037	52.270987	62.056591	64.545121	64.786516	64.509345	83.131293	81.942266	85.514442	82.483968	91.887322	88.421638	87.751474	90.389423	100.686441	95.024717	91.685508	101.188568	105.022796	97.088518	99.838031	101.623701
rna-gnl|PRJNA600925|mrna.GWK60_I01463	gene-GWK60_I01463	68.799994	70.707965	71.009951	70.627704	75.524797	70.637015	76.615328	81.666974	157.421842	152.129045	161.335622	177.409464	45.423861	49.243668	42.191467	43.983265	3.598225	6.905963	7.040842	5.077756	3.811928	7.053286	5.243148	8.171009	11.074628	8.331303	9.843316	8.689046	35.236814	36.989913	31.290187	30.762578	53.389638	45.005148	52.729258	44.764241	57.475035	69.17513	58.010134	60.796188	64.219167	56.369133	60.069722	61.516566
rna-gnl|PRJNA600925|mrna.GWK60_I01485	gene-GWK60_I01485	21.908427	19.982802	20.667548	21.635953	28.164123	29.489472	28.973569	26.525764	22.170175	23.821051	18.201824	18.102439	49.945663	45.912396	48.7466	48.252418	59.716233	64.324576	67.120089	61.958261	52.283032	62.262739	57.583793	56.132123	58.338566	56.806972	62.489276	62.343241	53.794699	55.063279	50.442204	54.844374	55.22062	53.177982	51.252074	54.020932	49.851492	50.020118	48.699194	50.747696	56.668846	53.460305	51.31543	51.582251
rna-gnl|PRJNA600925|mrna.GWK60_I01507	gene-GWK60_I01507	2022.804506	2051.389864	2017.639255	1995.904146	885.422014	877.277181	878.438704	876.325308	2216.859593	2201.344654	1954.953311	1970.556164	7394.160644	7356.594001	7546.519113	7517.90423	9730.017916	9846.682958	10049.395096	9961.063841	3918.082705	3955.280008	3787.377825	3819.770966	1186.761884	1200.733008	1160.818477	1167.280808	657.361908	657.023512	743.076772	768.020932	906.738573	902.526071	973.767858	969.445003	1017.272269	1006.541811	1070.607304	1061.688632	855.144178	842.848454	829.595235	816.860576
