gene_id,t0015,t0030,t0045,t0060,t0090,t0120,t0150,t0180,t0210,t0240,t0360,t0480
orf19.697,0,-1.2580927867098166,-1.4579673807302722,-1.6401268898862391,-1.2076776657692136,-1.1231122781876262,-1.1438162374266554,-1.1525900431931908,-1.2038219340788785,-1.152644243840754,-1.0415599666915158,-1.1945743670382605
orf19.6971,-1.014144612460851,0,0,0,0,0,0,0,-1.307062241931927,-1.393138214636605,-1.3747495380419137,-1.4278181739862674
orf19.6973,-1.919805993190155,-3.943523490605944,-3.3297690431053697,-2.4328389247590234,-1.9732257755418547,-2.0954044511011363,-2.028232553186301,-2.3404619528196338,-2.4350188270348605,-2.392062130618552,-2.4165440539268817,-2.5483142141551274
orf19.6975,0,1.237798428046292,1.4753363942531657,1.298727611414142,0,-2.001003106957171,-3.8395681015922487,-3.663687125529893,-3.719916540798436,-3.814254419455383,-3.662246727301779,-3.4299164338306753
orf19.6976,1.267209332109112,1.035888307220147,0,0,0,0,0,0,0,0,0,0
orf19.6978,0,0,0,0,0,0,0,0,-2.130885649582667,0,0,-3.1450084049850173
orf19.6983,-1.7025857247753398,-2.1642034593119206,-1.667091345318884,-1.8982283156870527,-1.764873233907977,-1.7185300111902753,-1.5899191283159668,-1.721661697146707,-1.8841341615971816,-2.323881866688091,-2.706017315798103,-2.5289081514804987
orf19.6984,0,1.0956041850826914,1.0210809631826705,0,0,-1.083719715564208,0,0,0,0,0,-1.0043915186541783
orf19.6985,-2.257603552590793,-3.3734051306825292,-2.579357508483042,-2.5154466351173626,-2.6192746159217406,-2.5347789467999258,-2.149003142675366,-2.0779813851386386,-2.114803229978816,-1.9608129230274536,-2.049738663619688,-1.9974510606454663
orf19.6986,0,0,0,0,0,0,0,-1.0734696617813004,-1.1330176262322142,-1.1349305359056774,-1.304479643482807,0
orf19.6989,0,1.6661544098815857,1.9200410347131691,0,0,0,0,0,0,1.4452723239126752,1.439534418764647,2.086999504398061
orf19.699,0,-1.914431995558425,0,-2.6279399934072,-1.9151913921186865,-2.047478682796603,0,0,0,0,0,0
orf19.6990,0,0,0,0,0,0,0,0,1.077376880164118,1.0367194994027344,1.2731236657520248,1.3176163347202747
orf19.6992,1.3774897596876812,0,0,0,0,0,0,0,0,0,0,0
orf19.6994,-1.2551338506414889,-1.6127056159954885,-3.5810467515009994,-3.6337841411291434,-3.7623082934494305,-3.5562596727141944,-3.365257068474625,-3.254184354127644,-3.0248876489419985,-2.915387179964064,-2.858809506095268,-3.2683616187302325
orf19.6995,0,-1.5209130038260401,-3.55522991847366,-2.481936684834418,-2.5027343075534008,-1.367436316895254,0,-1.309039648613303,-1.1654410336509402,0,0,0
orf19.6996,2.965961276336544,1.7519068347988886,1.3542343804900463,0,0,0,0,0,0,0,0,-1.3476704736100251
orf19.6997,0,0,0,0,0,0,0,0,1.9207586542270148,1.7431929260863128,2.1848056803129383,1.938185294018411
orf19.700,0,-2.1838627884213415,-2.3810835974799027,-2.698013027847021,-2.824716662364852,-2.8014594703003586,-2.1431830176290756,-1.8749684844340544,-1.4214919308271243,-1.266885108919877,-1.0640719392842088,-1.2437895828284715
orf19.7001,0,0,0,0,0,0,0,0,0,0,-1.2217314720795769,0
orf19.7009,0,0,0,0,0,0,0,0,0,1.0584138305053792,1.6038571652102769,1.6432769479240703
orf19.701,0,0,0,0,0,0,3.619393337494358,0,0,0,0,0
orf19.7011,3.945863961320629,5.03216423961719,4.97000822268373,3.644655373397198,0,0,1.8870033130394823,2.835738325238786,2.9530191696953896,3.0224087227940197,3.0473149812009,3.0019095507951903
orf19.7012,0,1.137954085398338,1.2070413630655283,1.255773269874174,0,0,0,0,0,0,0,0
orf19.7013,0,2.011538785164298,0,0,0,0,0,0,0,0,0,0
orf19.7015,0,1.1109958258396355,1.3639143308352608,1.411110986316681,0,-1.254196065494144,-3.8546975658191216,-3.752029074846933,-3.6229424598078506,-3.732480553117862,-3.9555692983304103,-3.67999566861147
orf19.7016,0,0,0,1.221252538440981,1.3321306375004798,1.6478679603577495,1.3786603676359863,1.4933615381001868,1.5548417801254788,1.6733785377725712,1.610604669594287,1.6496770835534014
orf19.7017,-2.370717183093686,0,0,0,0,0,0,0,0,0,0,0
orf19.7018,0,1.0810044090027788,1.373315940282226,1.118444842239442,0,-2.1334769730313528,-3.620605121155683,-3.16254770323751,-2.879504404792738,-2.956727964027048,-2.7459411845037005,-2.519977257483097
orf19.7019,0,1.3918537936001498,1.5007367192382812,1.525574670245508,0,0,-1.088954013684276,-1.0439248946434134,0,-1.0839882309081472,-1.1201360172180264,-1.022021815314315
orf19.702,1.157204900016509,1.465159251436716,1.4720048947717783,0,0,0,0,0,0,0,0,0
orf19.7020,0,0,0,0,0,0,0,0,-1.0453169528973998,-1.0486449577029422,-1.0683514944587424,-1.0793189136203556
orf19.7021,0,-2.398737661369188,-2.9730286954205756,-2.288877398786473,0,0,0,0,0,0,0,0
orf19.7027,-1.375548719225659,-1.3169381535218772,-1.0884667242820127,0,0,0,0,0,0,0,0,0
orf19.7029,0,0,0,0,0,0,0,1.8173569199228392,2.5808990266508154,2.860092103830926,3.261492688890322,3.8593680028175377
orf19.7032,0,0,0,0,0,0,0,0,0,0,1.2194277375967637,1.3536230222288028
orf19.704,0,0,0,0,1.0110133032921558,1.312825142849584,0,1.076584883598216,1.1562518332205949,1.196094807886311,1.523948362809164,1.348995215061135
orf19.7041,0,1.0247948242588858,0,0,0,0,0,0,0,0,0,0
orf19.7042,-1.5366081150328488,0,0,0,0,0,0,0,0,0,0,0
orf19.7043,0,0,0,0,1.7109307427033078,1.532947170804047,0,0,0,0,1.8104111381724144,1.7306452446859284
orf19.7044,0,-1.4698912267035391,-1.3926957408613347,-1.1003487530274234,0,0,0,0,0,0,0,0
orf19.7048.1,0,1.1165964886088633,1.4111547764462826,1.1512147904100436,0,-2.057476409319781,-3.827884377771289,-3.7676074768505146,-3.2135202323837047,-3.265757109580923,-2.9971340879422352,-2.55425157256881
orf19.7050,3.648563733166036,4.098135740268732,3.976854643635358,2.8604451139059353,0,0,1.7164263178651558,2.7615257542681606,3.14568021820653,3.0289835254030995,3.346837637029422,3.300962558437488
orf19.7053,0,0,-1.1799430969043316,-1.6970578989146612,-1.7036743918924688,-1.9680886144645415,-1.487807649874396,-1.558231924870532,-1.6070932493424122,-1.5091319707123616,-1.5510864500413952,-1.187610684999645
orf19.7056,1.0947798616956654,1.0786417920459903,1.277008084395009,1.4934562116109118,1.9382245924293495,2.1478343346805,2.349148727754744,2.136014873887495,1.9954296940659424,2.0635126207062364,1.6943522667441229,1.630916883921616
orf19.7057,0,1.053538537050774,1.1944392389978755,0,0,-1.0149738017277936,-1.2434572157075032,-1.0549297264174264,-1.169290191972746,-1.166496427876938,-1.2560583026111332,-1.3027193873471516
orf19.706,3.0142640300160877,3.483938678563049,3.284831739355382,2.0309293150570578,0,0,1.0462402047089705,1.8605166931190096,2.106186459159767,2.114614481362454,2.1549468743281732,2.014904272804298
orf19.7060,0,-1.030466020455262,0,0,0,0,0,0,0,0,1.3625887450827512,1.6738310259682592
orf19.7061,0,-1.154455400576224,-1.22581078151867,0,0,0,0,0,0,0,0,0
orf19.7062,3.4171125627220365,4.371437148998631,4.255555864437038,3.024492383041739,0,0,1.8688225232988775,2.653363382809999,2.713308251356188,2.778027285619368,2.5712724358595205,2.531379999423476
orf19.7063,1.6430123905748817,1.9224319719240408,1.913036583262668,1.0602153716291849,0,0,0,1.2653028778038045,1.3911559270206748,1.5528125409255775,1.5515032056743068,1.4409985983458244
orf19.7064,0,1.2509783699798829,1.1988226718111312,0,0,-1.3246409325476336,-1.2389529407737665,-1.0585136059075952,-1.198661172000144,-1.2402118919727676,-1.3123614882117534,-1.2477862628026712
orf19.7068,0,0,0,0,1.3206230439279554,1.889143016826614,1.9219122394441552,2.2293828302484986,2.530920970487229,2.569150714621967,2.5376362145045555,2.420852210082846
orf19.7069,1.9858505800649835,2.3568163330321643,2.2875037626457773,1.36631447110534,0,0,0,0,0,1.048193492672092,1.3192492905874773,1.512212805596218
orf19.707,0,-1.656567410028291,-1.5343193009626337,0,0,0,0,0,0,0,0,0
orf19.7071,0,2.704247474906288,6.33411419887757,9.32238865938468,9.971292269149703,9.764615246585672,9.05983058068306,8.932336829621308,8.674879154397736,8.656260109319499,8.227934078253313,8.024322453739765
orf19.7072,1.103699079206417,1.033882018891818,1.0694769889127498,0,0,0,0,0,0,0,0,0
orf19.7077,0,0,0,0,2.2267777267521702,3.9793047803826536,4.4417726538986955,4.690784564750936,4.938977885599292,5.19793476501662,5.188863361415783,4.585481795927789
orf19.7078,0,0,0,0,0,1.0048620388044511,1.1329567235441411,1.562047377398104,1.969474189744433,2.174033681211949,2.853902868627021,2.828763449014937
orf19.7079,-1.0034852353361476,0,0,0,0,0,0,0,0,0,0,0
orf19.708,-1.3561968898351362,0,0,0,0,0,0,0,0,-1.0166464102448884,-1.196291211042603,0
orf19.7080,2.371904429296357,3.5981802040107103,0,1.0894309103507842,0,0,0,0,1.1184271549539233,1.2575210371735523,1.8103057465809396,1.8302977246224243
orf19.7084,0,1.3016797368394073,1.3170739228341712,1.1137800106590994,0,0,0,0,0,0,0,0
