"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-KLLA0_E09637g",1499.29354648014,-2.13391777744192,0.106246699641612,1.18987232287674e-90,3.04157412683617e-89
"gene-KLLA0_E10055g",281.269130341562,-2.01300798652328,0.193892437893454,3.7312631043389e-26,3.39313802302536e-25
"gene-KLLA0_E10187g",1349.0539689506,-3.2760107620265,0.125313332303844,4.89247653911046e-151,2.51375444579496e-149
"gene-KLLA0_E10781g",114.857643483046,-4.31827995587163,0.388390070117694,1.6298552876491e-29,1.6517152796728e-28
"gene-KLLA0_E10803g",295.438526351099,-2.03117266282755,0.189049027991416,7.69127899652662e-28,7.42815629401387e-27
"gene-KLLA0_E12101g",17604.4514210549,3.17217340823469,0.079108063533117,0,0
"gene-KLLA0_E12409g",562.072933219656,-2.24029489519091,0.153579709393097,3.63005156343194e-49,5.06826221003078e-48
"gene-KLLA0_E12431g",242.551162972731,-3.02100259154961,0.236756862303192,2.50604696513659e-38,3.03680879879052e-37
"gene-KLLA0_E12519g",1663.56809260975,-4.05342299709818,0.118135771773027,4.80879958375521e-259,5.49058050251873e-257
"gene-KLLA0_E12761g",720.589064155321,-2.13854282644716,0.134428427945954,6.25384716219994e-58,1.00100519375026e-56
"gene-KLLA0_E12915g",16584.31182804,-2.33214747268871,0.0744156380070878,1.34505710665291e-216,1.30394404037409e-214
"gene-KLLA0_E13047g",1069.85453937967,-2.59672460213131,0.122004564109436,1.60526702755457e-101,4.38716063168903e-100
"gene-KLLA0_E13619g",551.108862371032,-2.74993265602867,0.153805587103586,1.64631627962662e-72,3.29135137926908e-71
"gene-KLLA0_E13641g",272.448003376438,-4.58145974125579,0.273860762115743,1.50749813938874e-63,2.68941855561783e-62
"gene-KLLA0_E13729g",528.850750374027,-2.65384402621354,0.156658425338868,2.1712975371041e-65,3.94209425641021e-64
"gene-KLLA0_E13751g",230.265126878434,-2.08473848074369,0.225241645778628,2.59044417664677e-21,1.98356217281835e-20
"gene-KLLA0_E13817g",4333.29591016601,-2.79754268698621,0.0881211751033971,3.00500100391189e-222,2.96917214578832e-220
"gene-KLLA0_E13905g",435.451327983527,-2.33802976275103,0.163522902104193,2.43025462191332e-47,3.29463014443025e-46
"gene-KLLA0_E14015g",2492.46981948222,-2.66183685622783,0.098281806706375,1.69718522511495e-162,9.37649213617269e-161
