gene_id,tp,log2FC
KLLA0_A01309g,t0015,0
KLLA0_A01309g,t0030,0
KLLA0_A01309g,t0045,0
KLLA0_A01309g,t0060,0
KLLA0_A01309g,t0090,0
KLLA0_A01309g,t0120,0
KLLA0_A01309g,t0150,0
KLLA0_A01309g,t0180,1.326751081549869
KLLA0_A01309g,t0210,0
KLLA0_A01309g,t0240,1.4964960580116384
KLLA0_A01309g,t0360,2.6124327978991055
KLLA0_A01309g,t0480,2.5317229403191464
KLLA0_A01320g,t0015,0
KLLA0_A01320g,t0030,-1.4120799357800409
KLLA0_A01320g,t0045,0
KLLA0_A01320g,t0060,0
KLLA0_A01320g,t0090,0
KLLA0_A01320g,t0120,0
KLLA0_A01320g,t0150,0
KLLA0_A01320g,t0180,1.1089008199479846
KLLA0_A01320g,t0210,1.0748088827241058
KLLA0_A01320g,t0240,1.1093231534423549
KLLA0_A01320g,t0360,1.1254455563820476
KLLA0_A01320g,t0480,1.0387461288922513
KLLA0_A01408g,t0015,-2.681276426912611
KLLA0_A01408g,t0030,-2.357051808039244
KLLA0_A01408g,t0045,0
KLLA0_A01408g,t0060,0
KLLA0_A01408g,t0090,1.38308226285453
KLLA0_A01408g,t0120,1.428323086741174
KLLA0_A01408g,t0150,1.6056766561137894
KLLA0_A01408g,t0180,1.6284220984637454
KLLA0_A01408g,t0210,1.5831923827920662
KLLA0_A01408g,t0240,1.6373448292715085
KLLA0_A01408g,t0360,1.6231839161664552
KLLA0_A01408g,t0480,1.5858395043502145
KLLA0_A01452g,t0015,0
KLLA0_A01452g,t0030,1.620302586980088
KLLA0_A01452g,t0045,1.1869057130086904
KLLA0_A01452g,t0060,0
KLLA0_A01452g,t0090,-1.2417146096112746
KLLA0_A01452g,t0120,0
KLLA0_A01452g,t0150,0
KLLA0_A01452g,t0180,0
KLLA0_A01452g,t0210,0
KLLA0_A01452g,t0240,0
KLLA0_A01452g,t0360,0
KLLA0_A01452g,t0480,0
KLLA0_A01573g,t0015,0
