gene_id,tp,log2FC
orf19.1077,t0015,-1.7889552301132292
orf19.1077,t0030,-2.53613970906301
orf19.1077,t0045,-2.597996563335414
orf19.1077,t0060,-2.1875919359325726
orf19.1077,t0090,-1.9736283774895615
orf19.1077,t0120,-2.003023267801521
orf19.1077,t0150,-2.0133796436178484
orf19.1077,t0180,-2.1758737974604716
orf19.1077,t0210,-2.3293023070004244
orf19.1077,t0240,-2.2157707556550834
orf19.1077,t0360,-2.281699770530586
orf19.1077,t0480,-2.5402823671423183
orf19.1078,t0015,0
orf19.1078,t0030,-1.812793771178669
orf19.1078,t0045,-1.4900586696402642
orf19.1078,t0060,0
orf19.1078,t0090,0
orf19.1078,t0120,0
orf19.1078,t0150,0
orf19.1078,t0180,0
orf19.1078,t0210,0
orf19.1078,t0240,0
orf19.1078,t0360,0
orf19.1078,t0480,0
orf19.1082,t0015,1.84917726859368
orf19.1082,t0030,2.605395184969773
orf19.1082,t0045,2.585770299998611
orf19.1082,t0060,1.9653020945510904
orf19.1082,t0090,0
orf19.1082,t0120,1.5828026178511243
orf19.1082,t0150,1.831932977414774
orf19.1082,t0180,2.3678390886227634
orf19.1082,t0210,2.618250332111176
orf19.1082,t0240,2.662440896047334
orf19.1082,t0360,2.5901284068084376
orf19.1082,t0480,2.7556637739067757
orf19.1083,t0015,1.0289063058556798
orf19.1083,t0030,1.6116461795164916
orf19.1083,t0045,1.6387466654499172
orf19.1083,t0060,1.0459370031803026
orf19.1083,t0090,0
orf19.1083,t0120,0
orf19.1083,t0150,0
orf19.1083,t0180,0
orf19.1083,t0210,0
orf19.1083,t0240,1.013230481982814
orf19.1083,t0360,1.3511954026312183
orf19.1083,t0480,1.4223446890067046
orf19.1089,t0015,0
orf19.1089,t0030,0
orf19.1089,t0045,0
orf19.1089,t0060,0
orf19.1089,t0090,0
orf19.1089,t0120,0
orf19.1089,t0150,0
orf19.1089,t0180,0
orf19.1089,t0210,0
orf19.1089,t0240,0
orf19.1089,t0360,1.1674958473236436
orf19.1089,t0480,1.0632149588230655
orf19.1090,t0015,0
orf19.1090,t0030,1.591394473046472
orf19.1090,t0045,1.517575689244078
orf19.1090,t0060,0
orf19.1090,t0090,0
orf19.1090,t0120,0
orf19.1090,t0150,0
orf19.1090,t0180,1.6364640987575128
orf19.1090,t0210,1.7185964768959694
orf19.1090,t0240,2.034380694089103
orf19.1090,t0360,1.910335968219336
orf19.1090,t0480,1.877463201987266
orf19.1091,t0015,4.276990308443588
orf19.1091,t0030,4.374259310930549
orf19.1091,t0045,4.275776147935478
orf19.1091,t0060,2.9387608755905097
orf19.1091,t0090,0
orf19.1091,t0120,0
orf19.1091,t0150,1.799760277146054
orf19.1091,t0180,2.6977412968723424
orf19.1091,t0210,2.887413404437184
orf19.1091,t0240,2.9569437377192105
orf19.1091,t0360,2.9579293775978504
orf19.1091,t0480,3.065437872342768
orf19.1092,t0015,0
orf19.1092,t0030,0
orf19.1092,t0045,0
orf19.1092,t0060,0
orf19.1092,t0090,0
orf19.1092,t0120,0
orf19.1092,t0150,0
orf19.1092,t0180,0
orf19.1092,t0210,0
orf19.1092,t0240,-1.0446067927616356
orf19.1092,t0360,-1.383588783000057
orf19.1092,t0480,-1.2656795933317004
orf19.1097,t0015,0
orf19.1097,t0030,0
orf19.1097,t0045,0
orf19.1097,t0060,0
orf19.1097,t0090,-1.6387348038147302
orf19.1097,t0120,-1.1352457081017973
orf19.1097,t0150,0
orf19.1097,t0180,0
orf19.1097,t0210,0
orf19.1097,t0240,0
orf19.1097,t0360,0
orf19.1097,t0480,0
orf19.11,t0015,0
orf19.11,t0030,0
orf19.11,t0045,0
orf19.11,t0060,0
orf19.11,t0090,0
orf19.11,t0120,2.404979160958953
orf19.11,t0150,2.523839006349347
