gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
orf19.1580,166,136,127,131
orf19.1581,2,1,10,2
orf19.1582,179,164,114,145
orf19.1584,904,763,2845,2833
orf19.1585,10602,7084,3671,3832
orf19.1586,132,92,53,39
orf19.1587,126,104,182,176
orf19.1588,1578,1237,625,587
orf19.1589,283,222,153,170
orf19.1589.1,2055,1653,8621,8852
orf19.1590,283,195,296,258
orf19.1591,7147,5225,10237,10767
orf19.1592,345,277,357,373
orf19.1595,648,519,539,576
orf19.1596,721,576,1120,1114
orf19.1597,3656,2527,2725,2845
orf19.1598,1844,1470,4773,5070
orf19.1599,3,2,3,5
orf19.1600,846,627,969,1070
orf19.1601,13121,9287,38422,40307
orf19.1604,1134,1051,1094,1251
orf19.1605,382,309,561,536
orf19.1606,394,344,443,450
orf19.1607,4877,4050,2112,2329
orf19.1608,74,39,98,132
orf19.1609,463,496,1008,995
orf19.1610,281,247,342,333
orf19.1611,218,168,36,56
orf19.1613,3399,2588,23445,24285
orf19.1614,949,681,1834,1858
orf19.1616,18,21,382,351
orf19.1617,416,318,325,317
orf19.1618,8861,6268,3678,3959
orf19.1618.1,100,64,41,45
orf19.1619,1794,1563,1998,2017
orf19.1620,1,2,3,3
orf19.1621,2162,1632,1545,1784
orf19.1622,1435,1292,1242,1315
orf19.1623,2208,1658,1378,1468
orf19.1624,906,761,1258,1415
orf19.1624.1,16,19,10,13
orf19.1625,2176,1645,1010,1004
orf19.1626,576,430,911,967
orf19.1628,6569,5185,5692,5850
orf19.163,298,245,503,477
orf19.1630,2280,1798,1587,1842
orf19.1631,4439,3284,16348,16939
orf19.1632,8738,6714,2132,2253
orf19.1633,362,290,323,340
orf19.1634,1718,1270,1232,1166
orf19.1635,7841,5980,17944,17260
orf19.1636,713,554,648,726
orf19.1637,1708,1201,1213,1198
orf19.1638,1074,892,1267,1315
orf19.1639,30,41,22,34
orf19.164,363,266,914,1018
orf19.1641,72,52,37,30
orf19.1642,182,172,98,87
orf19.1643,3025,2477,902,884
orf19.1646,608,523,313,342
orf19.1647,51,40,28,39
orf19.1648,1437,1390,1285,1454
orf19.1649,5059,4097,2911,3043
orf19.1650,465,394,265,239
orf19.1651,6,6,10,12
orf19.1652,2790,2235,1326,1439
orf19.1653,1006,757,1218,1140
orf19.1654,1092,737,845,922
orf19.1655,45,37,77,70
orf19.1655.3,212,176,74,82
orf19.1656,502,459,614,619
orf19.1658,3534,3108,5150,5436
orf19.1659,763,580,855,860
orf19.166,503,463,1350,1510
orf19.1661,3942,3225,3348,3512
orf19.1662,706,571,656,709
orf19.1663,1694,1253,1790,1975
orf19.1664,1152,1016,645,621
orf19.1665,9273,6918,9586,10240
orf19.1666,1256,1140,724,879
orf19.1667,615,549,491,597
orf19.1667.1,135,111,90,96
orf19.1668,466,350,467,475
orf19.1669,3810,3004,2700,2896
orf19.1670,2051,1714,1606,1749
orf19.1671,4299,2792,3054,3119
orf19.1671.1,3,4,0,1
orf19.1672,8924,6920,6476,7407
orf19.1673,315,282,352,355
orf19.1674,1717,1427,2333,2536
orf19.1675,1479,1199,928,1003
orf19.1676,517,421,289,294
orf19.1677,1406,1175,1551,1568
orf19.1678,177,142,338,337
orf19.1679,10,13,2,2
orf19.168,557,397,231,239
orf19.1680,9316,7184,7361,8061
orf19.1681,375,283,182,172
orf19.1682,9396,7313,4637,4756
orf19.1683,5367,3525,2216,2381
orf19.1684,832,711,823,868
orf19.1685,139,153,337,381
orf19.1686,388,274,420,437
orf19.1687,857,773,413,429
orf19.169,424,272,424,465
orf19.1690,12736,9665,14361,15190
orf19.1691,73,73,41352,41197
orf19.1693,2935,2667,2566,2927
orf19.1697,625,569,1204,1171
orf19.1698,690,602,1442,1573
orf19.1699,1273,1090,2042,1980
orf19.17,341,205,64,102
orf19.1700,2386,1860,8383,8335
orf19.1701,362,286,1121,1118
orf19.1702,1114,860,891,906
orf19.1704,1546,1081,540,538
orf19.1706,459,373,1001,1038
orf19.1707,236,173,153,137
orf19.1708,92,70,33,32
orf19.1709,719,592,373,351
orf19.171,2281,2190,1602,1547
orf19.1710,2298,1734,1269,1302
orf19.1711,1156,859,1268,1330
orf19.1712,1868,1446,1780,1960
orf19.1714,29,16,18,21
orf19.1715,1971,1511,2482,2604
orf19.1716,776,683,845,903
orf19.1717,203,165,124,152
orf19.1718,574,395,788,797
orf19.1719,184,164,261,281
orf19.172,268,169,81,118
orf19.1720,1015,909,306,325
orf19.1721,1528,1386,703,698
orf19.1722,77,52,26,19
orf19.1723,2060,1563,886,877
orf19.1724,10,7,42,60
orf19.1725,307,279,490,545
orf19.1727,1633,1384,2126,2378
orf19.1728,19,13,14,18
orf19.1729,460,421,373,416
orf19.173,1073,1065,1848,2155
orf19.1730,2478,1950,1667,1643
orf19.1734,2971,2484,2203,2406
orf19.1735,149,135,94,114
orf19.1736,75,78,61,68
orf19.1737,16,14,25,23
orf19.1738,15734,12396,12247,12688
orf19.1738.1,874,650,423,461
orf19.1741,102,116,109,116
orf19.1742,889,575,479,627
orf19.1743,8554,6584,3694,3951
orf19.1744,504,377,316,351
orf19.1745,86,67,71,81
orf19.1746,265,205,202,219
orf19.1747,1033,761,1096,1146
orf19.1748,204,178,160,182
orf19.175,560,495,624,656
orf19.1750,3460,2763,2606,2758
orf19.1751,3737,3072,2942,3086
orf19.1753,717,534,446,457
orf19.1754,2269,1790,1532,1492
orf19.1755,796,663,1121,1136
orf19.1756,698,532,1964,2241
orf19.1757,275,293,398,386
orf19.1759,1608,1423,804,794
orf19.176,33,48,446,475
orf19.1760,4397,3659,2880,3000
orf19.1761,775,579,411,399
orf19.1762,654,615,426,432
orf19.1763,111,95,108,141
orf19.1764,1465,1055,1062,973
orf19.1765,150,136,260,269
orf19.1766,108,80,12,9
orf19.1767,379,279,289,290
orf19.1768,55,44,77,85
orf19.1769,307,234,251,238
orf19.177,656,543,489,568
orf19.1770,3339,2295,2143,2240
orf19.1771,288,322,305,278
orf19.1772,330,245,215,201
orf19.1773,585,511,767,754
orf19.1774,41,25,18,33
orf19.1776,429,327,292,259
orf19.1777,2930,2594,3211,3531
orf19.1778,3,1,0,0
orf19.1779,35759,25656,20151,21762
orf19.178,412,347,351,404
orf19.1780,7,4,20,11
orf19.1782,3239,2287,2008,1968
orf19.1782.1,37,38,21,42
orf19.1783,1129,911,1343,1646
orf19.1785,2562,2056,2554,2671
orf19.1789,303,168,338,303
orf19.1789.1,4780,3423,22518,23285
orf19.1791,261,189,239,217
orf19.1792,881,662,767,838
orf19.1793,351,339,374,395
orf19.1794,139,105,118,134
orf19.1795,842,689,461,588
orf19.1795.1,120,95,76,66
orf19.1796,3396,2590,2179,2243
orf19.1797,537,444,209,175
orf19.1798,641,496,527,597
orf19.1799,1049,943,3032,3159
orf19.18,1747,1318,2641,2899
orf19.1800,1077,986,822,829
orf19.1801,3596,2584,3150,2972
orf19.1802,563,506,1268,1345
orf19.1803,228,206,234,218
orf19.1804,614,423,639,683
orf19.1805,1474,1167,1797,1986
orf19.1806,66,33,7,12
orf19.1808,869,737,930,973
orf19.1813,1727,1247,1503,1824
orf19.1814,5055,4171,3472,3845
orf19.1815,1583,1192,9291,9286
orf19.1816,624,660,1011,1135
orf19.182,633,520,465,426
orf19.1821,1,0,1,0
orf19.1822,31,18,3,6
orf19.1823,643,524,763,784
orf19.1824,2,0,4,0
orf19.1825,492,474,628,651
orf19.1826,122,86,261,280
orf19.1827,19,10,5,15
orf19.1828,115,68,283,275
orf19.183,275,251,664,754
orf19.1830,83,78,16,13
orf19.1831,0,0,0,0
orf19.1832,765,644,5340,5342
orf19.1833,1606,1545,1253,1365
orf19.1834,351,290,250,291
orf19.1835,784,738,1148,1162
orf19.1836,284,239,266,246
orf19.1837,2550,2085,2963,3143
orf19.1839,1086,981,957,1002
orf19.184,507,373,473,444
orf19.1840,11114,8984,7792,8725
orf19.1841,127,111,121,130
orf19.1842,1151,966,1780,2112
orf19.1843,1075,725,934,991
orf19.1844,14,5,21,13
orf19.1847,2353,1902,4522,4708
orf19.1848.1,176,145,84,82
orf19.1849,582,409,590,580
orf19.185,1037,797,807,797
orf19.1850,537,446,468,523
orf19.1852,1749,1361,836,838
orf19.1853,32679,23480,10687,10234
orf19.1854,19022,16235,8681,8275
orf19.1855,111,109,239,246
orf19.1856,1252,1057,697,721
orf19.1857,941,742,3713,3844
orf19.1860,37906,29207,2946,2920
orf19.1860.1,1549,1308,1905,1937
orf19.1861,1099,870,1350,1369
orf19.1862,2018,1615,1401,1410
orf19.1863,12,4,17,17
orf19.1864,2013,1689,2232,2341
orf19.1865,2716,2206,4848,5126
orf19.1866,3008,2431,1079,1168
orf19.1867,167,147,673,661
orf19.1868,3907,3388,8423,8812
orf19.1871,3071,2715,2395,2773
orf19.1872,5755,4551,2399,2439
orf19.1873,1390,1121,754,776
orf19.1874,14,3,4,5
orf19.1876,839,681,727,779
orf19.1877,559,337,274,267
orf19.1878,761,611,557,586
orf19.188,5083,5403,2838,3009
orf19.1880,10658,7952,11392,11646
orf19.1881,1784,1422,2620,2667
orf19.1883,2103,1882,2134,2211
orf19.1885,1745,1640,1534,1479
orf19.1886,777,622,468,531
orf19.1887,2266,1916,2724,2924
orf19.1888,562,454,283,278
