gene_id,treated_b1,treated_b2,untreated_b1,untreated_b2
orf19.1492,840,608,287,298
orf19.1493,2009,1426,1668,1770
orf19.1494,5813,4066,2832,2993
orf19.1495,711,442,315,321
orf19.1496,1180,856,671,688
orf19.1497,563,451,296,330
orf19.1499,2067,1475,740,864
orf19.150,1353,895,451,449
orf19.1500,1030,694,1251,1273
orf19.1502,209,144,417,441
orf19.1504,2319,1685,1924,1970
orf19.1505,1188,788,542,616
orf19.1506,0,3,1,0
orf19.1507,1405,879,585,661
orf19.1508,140,89,71,70
orf19.1509,7572,5391,2986,3025
orf19.151,1111,696,483,487
orf19.1510,364,244,2381,2584
orf19.1513,1465,1074,2074,2306
orf19.1514,3120,2132,2491,2491
orf19.1515,250,185,237,251
orf19.1516,3035,2214,2411,2555
orf19.1517,18201,12817,34691,34269
orf19.1519,1570,1112,960,1065
orf19.1522,2254,1617,2979,3092
orf19.1523,74,41,54,43
orf19.1524,3,2,2,4
orf19.1525,1539,1016,847,872
orf19.1526,5163,3628,3950,4645
orf19.1527,179,104,109,73
orf19.1528,2134,1509,468,465
orf19.1529,16,12,5,3
orf19.1530,0,1,1,3
orf19.1531,2586,1673,1304,1347
orf19.1532,591,360,269,301
orf19.1533,1669,1138,798,796
orf19.1534,557,362,707,716
orf19.1535,195,110,104,128
orf19.1536,3541,2357,2516,2823
orf19.1538,573,400,450,524
orf19.1539,16,12,13,17
orf19.154,1116,689,82,86
orf19.1541,12,9,11,5
orf19.1542,1827,1274,1312,1329
orf19.1543,649,447,741,777
orf19.1544,2371,1728,2017,2124
orf19.1545,1022,678,361,318
orf19.1546,1220,845,657,668
orf19.1547,209,181,160,163
orf19.1548,270,202,152,141
orf19.1549,2438,1651,1154,1221
orf19.155,1676,1135,751,840
orf19.1551,595,447,312,346
orf19.1552,2672,1975,1627,1632
orf19.1553,7313,5424,4944,5216
orf19.1555,2621,1762,1460,1554
orf19.1557,165,135,135,146
orf19.1559,19897,13619,30588,30924
orf19.156,1700,1335,2023,2078
orf19.1560,4990,3663,4954,5142
orf19.1562,450,341,431,421
orf19.1563,1968,1466,1820,1811
orf19.1564,5468,4053,3155,3170
orf19.1565,1628,1146,1184,1328
orf19.1566,7484,4834,318,320
orf19.1567,1678,1249,1354,1364
orf19.1569,7322,4968,1283,1412
orf19.1570,2975,2071,4263,4558
orf19.1571,2,2,0,0
orf19.1573,4779,3350,1972,2091
orf19.1574,1728,1213,1171,1263
orf19.1575,3730,2597,494,517
orf19.1576,1006,636,616,659
orf19.1577,5,7,4,6
orf19.1578,9165,5859,535,671
orf19.158,1878,1294,339,405
orf19.1580,90,65,127,131
orf19.1581,0,0,10,2
orf19.1582,180,105,114,145
orf19.1584,907,632,2845,2833
orf19.1585,264,251,3671,3832
orf19.1586,88,66,53,39
orf19.1587,215,170,182,176
orf19.1588,849,660,625,587
orf19.1589,909,664,153,170
orf19.1589.1,5047,3634,8621,8852
orf19.1590,408,221,296,258
orf19.1591,9962,7066,10237,10767
orf19.1592,741,542,357,373
orf19.1595,608,416,539,576
orf19.1596,553,390,1120,1114
orf19.1597,2968,2097,2725,2845
orf19.1598,2668,1841,4773,5070
orf19.1599,4,3,3,5
orf19.1600,763,504,969,1070
orf19.1601,69896,49215,38422,40307
orf19.1604,3606,2596,1094,1251
orf19.1605,156,95,561,536
orf19.1606,412,328,443,450
orf19.1607,11681,7454,2112,2329
orf19.1608,83,72,98,132
orf19.1609,5121,3321,1008,995
orf19.1610,182,151,342,333
orf19.1611,17,31,36,56
orf19.1613,24820,17880,23445,24285
orf19.1614,2814,2186,1834,1858
orf19.1616,102,66,382,351
orf19.1617,453,330,325,317
orf19.1618,5456,3928,3678,3959
orf19.1618.1,61,31,41,45
orf19.1619,3210,2296,1998,2017
orf19.1620,11,1,3,3
orf19.1621,1833,1349,1545,1784
orf19.1622,1364,844,1242,1315
orf19.1623,1699,1282,1378,1468
orf19.1624,2137,1426,1258,1415
orf19.1624.1,12,5,10,13
orf19.1625,1832,1307,1010,1004
orf19.1626,2806,2025,911,967
orf19.1628,5347,4065,5692,5850
orf19.163,1097,700,503,477
orf19.1630,1907,1363,1587,1842
orf19.1631,4696,3138,16348,16939
orf19.1632,10507,7833,2132,2253
orf19.1633,6413,4306,323,340
orf19.1634,1465,1084,1232,1166
orf19.1635,26011,19121,17944,17260
orf19.1636,1095,775,648,726
orf19.1637,1072,755,1213,1198
orf19.1638,1105,923,1267,1315
orf19.1639,26,33,22,34
orf19.164,96,70,914,1018
orf19.1641,44,35,37,30
orf19.1642,2281,1527,98,87
orf19.1643,2772,1998,902,884
orf19.1646,5475,3588,313,342
orf19.1647,36,34,28,39
orf19.1648,1923,1331,1285,1454
orf19.1649,4693,3459,2911,3043
orf19.1650,337,230,265,239
orf19.1651,10,3,10,12
orf19.1652,2266,1741,1326,1439
orf19.1653,637,523,1218,1140
orf19.1654,823,662,845,922
orf19.1655,49,45,77,70
orf19.1655.3,113,95,74,82
orf19.1656,1252,880,614,619
orf19.1658,4861,3543,5150,5436
orf19.1659,1048,698,855,860
orf19.166,1656,1007,1350,1510
orf19.1661,5722,3842,3348,3512
orf19.1662,2250,1480,656,709
orf19.1663,3098,2115,1790,1975
orf19.1664,806,597,645,621
orf19.1665,16626,12241,9586,10240
orf19.1666,961,658,724,879
orf19.1667,845,609,491,597
orf19.1667.1,165,114,90,96
orf19.1668,588,425,467,475
orf19.1669,5574,3856,2700,2896
orf19.1670,2388,1632,1606,1749
orf19.1671,4540,3304,3054,3119
orf19.1671.1,0,0,0,1
orf19.1672,8157,5592,6476,7407
orf19.1673,1491,966,352,355
orf19.1674,3245,2330,2333,2536
orf19.1675,1978,1472,928,1003
orf19.1676,1772,1216,289,294
orf19.1677,1960,1439,1551,1568
orf19.1678,430,314,338,337
orf19.1679,4,5,2,2
orf19.168,1360,911,231,239
orf19.1680,8090,5621,7361,8061
orf19.1681,202,130,182,172
orf19.1682,7979,5567,4637,4756
orf19.1683,2748,1850,2216,2381
orf19.1684,955,769,823,868
orf19.1685,418,320,337,381
orf19.1686,1001,703,420,437
orf19.1687,6361,4123,413,429
orf19.169,1030,725,424,465
orf19.1690,7947,5589,14361,15190
orf19.1691,1112,822,41352,41197
orf19.1693,2498,1830,2566,2927
orf19.1697,5071,3555,1204,1171
orf19.1698,1483,1094,1442,1573
orf19.1699,1975,1377,2042,1980
orf19.17,216,133,64,102
orf19.1700,13863,10254,8383,8335
orf19.1701,851,638,1121,1118
orf19.1702,227,206,891,906
orf19.1704,1131,821,540,538
orf19.1706,1245,732,1001,1038
orf19.1707,196,108,153,137
orf19.1708,891,542,33,32
orf19.1709,504,429,373,351
orf19.171,12754,8430,1602,1547
orf19.1710,2835,2008,1269,1302
orf19.1711,1372,1034,1268,1330
orf19.1712,3438,2281,1780,1960
orf19.1714,32,19,18,21
orf19.1715,2267,1718,2482,2604
orf19.1716,1718,1232,845,903
orf19.1717,256,185,124,152
orf19.1718,988,635,788,797
orf19.1719,1450,1115,261,281
orf19.172,1333,884,81,118
orf19.1720,1638,1124,306,325
orf19.1721,14097,9728,703,698
orf19.1722,538,308,26,19
orf19.1723,574,444,886,877
orf19.1724,42,29,42,60
orf19.1725,496,358,490,545
orf19.1727,2662,1911,2126,2378
orf19.1728,40,41,14,18
orf19.1729,611,433,373,416
orf19.173,4513,3264,1848,2155
orf19.1730,1760,1336,1667,1643
orf19.1734,3759,2525,2203,2406
orf19.1735,222,127,94,114
orf19.1736,50,34,61,68
orf19.1737,16,3,25,23
orf19.1738,6162,4269,12247,12688
orf19.1738.1,446,331,423,461
orf19.1741,103,56,109,116
orf19.1742,1709,1230,479,627
orf19.1743,3262,2414,3694,3951
orf19.1744,808,522,316,351
orf19.1745,94,70,71,81
orf19.1746,98,82,202,219
orf19.1747,884,619,1096,1146
orf19.1748,654,539,160,182
orf19.175,444,288,624,656
orf19.1750,3619,2628,2606,2758
orf19.1751,2632,1834,2942,3086
