gene_id,treated_b1,untreated_b1,untreated_b2
gene-KLLA0_A07689g,214,91,86
gene-KLLA0_A07711g,339,213,245
gene-KLLA0_A07733g,1667,946,970
gene-KLLA0_A07755g,408,791,844
gene-KLLA0_A07777g,58,34,46
gene-KLLA0_A07799g,2980,2818,3341
gene-KLLA0_A07821g,735,492,509
gene-KLLA0_A07843g,1523,1299,1419
gene-KLLA0_A07865g,842,510,528
gene-KLLA0_A07887g,248,195,251
gene-KLLA0_A07909g,1756,1968,2217
gene-KLLA0_A07931g,1149,960,1226
gene-KLLA0_A07953g,2982,908,1169
gene-KLLA0_A07975g,1437,898,1026
gene-KLLA0_A07997g,1048,511,583
gene-KLLA0_A08019g,1121,622,692
gene-KLLA0_A08041g,1365,822,1015
gene-KLLA0_A08063g,1148,668,781
gene-KLLA0_A08085r,0,0,0
gene-KLLA0_A08107g,4785,6276,7583
gene-KLLA0_A08129g,2279,1629,1669
gene-KLLA0_A08140g,639,289,398
gene-KLLA0_A08162g,795,728,760
gene-KLLA0_A08184g,6099,5220,5161
gene-KLLA0_A08206g,152,42,44
gene-KLLA0_A08228r,0,0,0
gene-KLLA0_A08294r,0,1,0
gene-KLLA0_A08316g,3273,2281,2766
gene-KLLA0_A08338g,1134,1079,1121
gene-KLLA0_A08360g,4616,4828,5759
gene-KLLA0_A08382g,1831,689,896
gene-KLLA0_A08404g,2316,2399,2659
gene-KLLA0_A08426g,3085,4567,5464
gene-KLLA0_A08448g,2302,5766,6816
gene-KLLA0_A08470g,793,1302,1827
gene-KLLA0_A08492g,4411,8845,11318
gene-KLLA0_A08514r,0,0,0
gene-KLLA0_A08536g,381,202,245
gene-KLLA0_A08558r,0,0,0
gene-KLLA0_A08580g,1091,1026,1083
gene-KLLA0_A08602g,377,378,461
gene-KLLA0_A08624g,650,665,847
gene-KLLA0_A08646g,1494,1227,1437
gene-KLLA0_A08690g,222,79,125
gene-KLLA0_A08712g,619,534,636
gene-KLLA0_A08734g,1710,1364,1541
gene-KLLA0_A08756g,1798,1855,2059
gene-KLLA0_A08778g,2308,2063,2470
gene-KLLA0_A08800g,470,600,714
gene-KLLA0_A08822g,908,591,682
gene-KLLA0_A08844g,4275,3381,4189
gene-KLLA0_A08866g,1270,979,1130
gene-KLLA0_A08888g,459,399,447
gene-KLLA0_A08910g,3136,3137,3237
gene-KLLA0_A08932g,300,408,441
gene-KLLA0_A08965r,0,0,0
gene-KLLA0_A08987r,0,0,0
gene-KLLA0_A09031g,48674,25458,30436
gene-KLLA0_A09075g,23152,9616,12289
gene-KLLA0_A09097g,2540,3641,3745
gene-KLLA0_A09119g,1617,1449,1593
gene-KLLA0_A09141g,1016,488,461
gene-KLLA0_A09185g,361515,305026,379413
gene-KLLA0_A09207g,457,366,411
gene-KLLA0_A09229g,703,280,242
gene-KLLA0_A09251g,1614,797,937
gene-KLLA0_A09273r,0,0,0
gene-KLLA0_A09295g,1170,902,1270
gene-KLLA0_A09317g,860,326,349
gene-KLLA0_A09339g,49429,34188,40994
gene-KLLA0_A09361g,93,75,78
gene-KLLA0_A09383g,718,391,494
gene-KLLA0_A09405g,6,0,6
gene-KLLA0_A09427g,2000,867,953
gene-KLLA0_A09449g,4919,2762,3323
gene-KLLA0_A09471g,2700,2474,2439
gene-KLLA0_A09493g,425,302,259
gene-KLLA0_A09515g,3131,2110,2606
gene-KLLA0_A09537g,1435,774,872
gene-KLLA0_A09559g,1143,1082,1244
gene-KLLA0_A09581r,0,0,0
gene-KLLA0_A09603g,1516,520,544
gene-KLLA0_A09625g,578,529,622
gene-KLLA0_A09647g,3451,5807,6482
gene-KLLA0_A09669g,974,1596,2032
gene-KLLA0_A09691g,1742,1898,2185
gene-KLLA0_A09713g,4487,6542,8180
gene-KLLA0_A09735g,350,884,1179
gene-KLLA0_A09757g,123,157,101
gene-KLLA0_A09779g,645,185,227
gene-KLLA0_A09801g,846,541,730
gene-KLLA0_A09823g,3142,2956,3022
gene-KLLA0_A09845g,714,595,740
gene-KLLA0_A09867g,466,244,303
gene-KLLA0_A09889g,2069,1370,1457
gene-KLLA0_A09911g,1707,221,316
gene-KLLA0_A09933g,3553,1484,1459
gene-KLLA0_A09955g,2918,2377,2385
gene-KLLA0_A09977g,24442,11313,14800
gene-KLLA0_A09999g,1477,1001,1187
gene-KLLA0_A10021g,2317,1664,1855
gene-KLLA0_A10043g,710,453,497
gene-KLLA0_A10065g,1758,2269,2679
gene-KLLA0_A10087g,233,127,134
gene-KLLA0_A10109g,2153,2644,3044
gene-KLLA0_A10131g,1007,1142,1161
gene-KLLA0_A10153g,3442,1584,1934
gene-KLLA0_A10175g,2470,727,804
gene-KLLA0_A10197g,662,516,685
gene-KLLA0_A10219g,1112,1375,1692
gene-KLLA0_A10241g,872,653,833
gene-KLLA0_A10263g,1561,930,1036
gene-KLLA0_A10285g,1371,1468,1742
gene-KLLA0_A10307g,18207,26843,33339
gene-KLLA0_A10329g,1240,877,1026
gene-KLLA0_A10351g,734,433,527
gene-KLLA0_A10373g,419,169,190
gene-KLLA0_A10395g,353,168,194
gene-KLLA0_A10417g,11658,27807,31246
gene-KLLA0_A10439g,1292,1666,1749
gene-KLLA0_A10461g,284,574,659
gene-KLLA0_A10483g,99,8626,9327
gene-KLLA0_A10505g,5,10,10
gene-KLLA0_A10527g,183,138,193
gene-KLLA0_A10549g,2944,2075,2299
gene-KLLA0_A10571g,150,41,60
gene-KLLA0_A10593g,5011,6914,9217
gene-KLLA0_A10615r,0,0,0
gene-KLLA0_A10637g,276,119,136
gene-KLLA0_A10659g,454,456,561
gene-KLLA0_A10681g,576,534,640
gene-KLLA0_A10703g,1402,1492,1407
gene-KLLA0_A10725r,0,0,0
gene-KLLA0_A10769g,312,394,457
gene-KLLA0_A10791g,4915,1357,1523
gene-KLLA0_A10813g,328,2635,3088
gene-KLLA0_A10835g,1918,2383,2675
gene-KLLA0_A10857g,1209,1710,2038
gene-KLLA0_A10879r,0,0,0
gene-KLLA0_A10901g,1312,689,870
gene-KLLA0_A10923g,471,498,569
gene-KLLA0_A10945g,2204,1227,1426
gene-KLLA0_A10967g,554,294,401
gene-KLLA0_A10989g,2623,1455,1536
gene-KLLA0_A11011g,155865,204293,245883
gene-KLLA0_A11033g,951,685,815
gene-KLLA0_A11044g,163,134,159
gene-KLLA0_A11066g,99,328,392
gene-KLLA0_A11088g,284,267,322
gene-KLLA0_A11110g,510,11892,12266
gene-KLLA0_A11132g,3204,3606,3916
gene-KLLA0_A11154r,0,0,0
gene-KLLA0_A11176g,6836,3391,3814
gene-KLLA0_A11198g,942,751,791
gene-KLLA0_A11209g,38,54,54
gene-KLLA0_A11220g,31,27,39
gene-KLLA0_A11242g,505,436,474
gene-KLLA0_A11264r,0,0,0
gene-KLLA0_A11286g,4138,3856,4491
gene-KLLA0_A11308g,1334,1769,1893
gene-KLLA0_A11330g,723,792,921
gene-KLLA0_A11352g,4507,1362,1702
gene-KLLA0_A11374g,1113,782,896
gene-KLLA0_A11396g,6517,2834,3387
gene-KLLA0_A11440g,545,277,331
gene-KLLA0_A11462g,2063,1036,1251
gene-KLLA0_A11484g,608,814,1035
gene-KLLA0_A11506g,946,562,581
gene-KLLA0_A11528g,309,369,527
gene-KLLA0_A11550g,280,179,170
gene-KLLA0_A11572g,699,647,627
gene-KLLA0_A11594g,1739,2168,2173
gene-KLLA0_A11605g,253,117,133
gene-KLLA0_A11616g,1187,766,847
gene-KLLA0_A11638g,7299,4305,4669
gene-KLLA0_A11660g,666,2065,2287
gene-KLLA0_A11682g,727,673,756
gene-KLLA0_A11704g,4961,2682,3479
gene-KLLA0_A11748g,396,246,238
gene-KLLA0_A11770g,2186,3219,3808
