"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-GWK60_F00121",2805.00024578439,-3.10269039914796,0.0738724191013452,0,0
"gene-GWK60_F00231",17258.7951417557,2.42481850328258,0.0492667491174894,0,0
"gene-GWK60_F00275",2426.02625127067,-2.83897309594336,0.0829975856472802,1.72635755531643e-257,2.66294449881654e-256
"gene-GWK60_F00429",126.311680032898,-4.4047923832285,0.37448012977749,1.56924558082209e-32,4.63720885119335e-32
"gene-GWK60_F00473",37500.0721749046,2.53552403260139,0.0430864241923897,0,0
"gene-GWK60_F00583",145.659724254404,-3.72928905995574,0.30495790859005,4.33301237663342e-35,1.33362464020432e-34
"gene-GWK60_F00693",1792.48704176644,4.1216303902107,0.10285080588278,0,0
"gene-GWK60_F00847",532.202728703863,-5.48581346433217,0.239850111263108,4.23234379751462e-116,2.94862627482476e-115
"gene-GWK60_F00869",12190.5956860728,-3.14343109160691,0.117801460220842,7.48873259442993e-158,6.99657787685638e-157
"gene-GWK60_F00979",553.411326708225,-3.61262424160927,0.160385298374844,4.61236422563767e-113,3.1426212210951e-112
"gene-GWK60_F01221",56393.2482255307,-2.69378009045817,0.0512983853004176,0,0
"gene-GWK60_F01243",503.000992120298,-2.75727854085674,0.165566145016683,4.19710235593864e-63,1.84897473971836e-62
"gene-GWK60_F01419",202.833180901448,-2.42100460541139,0.21485634106991,3.36964919614183e-30,9.53948050145641e-30
"gene-GWK60_F01441",6085.10655836112,-4.22352274342599,0.070809281352248,0,0
"gene-GWK60_F01463",5182.63334609262,-3.15949217232637,0.0610497439327974,0,0
"gene-GWK60_F01485",752.081111403506,-2.25840727904328,0.118218321477929,3.91035873675932e-82,2.0839399144229e-81
"gene-GWK60_F01551",7434.72643430819,-4.92015469148289,0.1252883198091,0,0
"gene-GWK60_F01683",338.40963103893,-3.23275209555749,0.191406535809306,7.5192160439474e-65,3.39203056527987e-64
"gene-GWK60_F01903",9434.14143380431,2.20526878757455,0.052227996633122,0,0
"gene-GWK60_F02035",454.577054416439,-2.02230517014808,0.141971262604858,1.09096951683441e-46,3.98783853964487e-46
"gene-GWK60_F02277",933.99637440684,-3.45439094621874,0.120401793995494,6.64117692540932e-182,7.15831775156824e-181
"gene-GWK60_F02299",828.375359435058,-3.22702807170095,0.122945335417093,1.37653590734396e-152,1.24622700045253e-151
"gene-GWK60_F02563",763.129903780661,-2.54702020948034,0.123290717156277,1.11211248042043e-95,6.63985430988818e-95
"gene-GWK60_F02651",26359.9536103651,-3.28450711836299,0.0487687334785148,0,0
"gene-GWK60_F03003",3685.53185027548,2.46665552120428,0.0684417839943868,3.04135364886955e-285,5.38637043537166e-284
"gene-GWK60_F03333",443.856385301943,-2.29640659636631,0.14807800874806,6.34457209548362e-55,2.56908769994179e-54
"gene-GWK60_F03619",3563.54283441532,-4.76710970608506,0.0876602762195208,0,0
"gene-GWK60_F03839",15949.2510326806,2.23326786368135,0.0485900810263778,0,0
"gene-GWK60_F04059",2187.46925934666,-3.00642942854434,0.0807838518906296,5.96735615352551e-304,1.1331513851099e-302
"gene-GWK60_F04169",6779.34478968404,2.32908421942361,0.0548549664421172,0,0
"gene-GWK60_F04235",109.956868097521,3.67158933590953,0.351899364503537,3.54602056598095e-26,9.3447235356011e-26
"gene-GWK60_F04323",12182.9722212502,3.844053118446,0.0535445757323708,0,0
"gene-GWK60_F04411",6940.4281118151,3.04832731856715,0.0562511014528522,0,0
"gene-GWK60_F04455",4820.99626840297,3.51643267406323,0.0642823642347691,0,0
"gene-GWK60_F04499",31150.2476756072,3.30476263249712,0.0511735916617261,0,0
"gene-GWK60_F04587",746.058437327049,-3.96781056878033,0.144842959688293,6.09161200047714e-166,5.94469000417621e-165
"gene-GWK60_F04631",337.868597704967,2.37752099470699,0.170373336893101,5.72813152232605e-45,2.028954330467e-44
"gene-GWK60_F04675",855.509069095924,2.08815323318872,0.108492221351587,3.02312109244581e-83,1.63260954273768e-82
"gene-GWK60_F04719",9466.20478530348,-3.65110395869549,0.0544049078816987,0,0
"gene-GWK60_F04741",563.496194549237,3.95333165339806,0.168524811914781,3.18581132512226e-122,2.32741216251988e-121
"gene-GWK60_F05291",2924.19204307592,-2.23678077538532,0.067677248062089,2.88847542277614e-240,4.19706649828798e-239
"gene-GWK60_F05313",115.25140632113,-3.75244823009067,0.347283714438098,6.63400467964594e-28,1.79500332381367e-27
"gene-GWK60_F05885",3088.96147551823,2.49193907942147,0.0675579280278174,1.35014490893789e-298,2.5363436503619e-297
"gene-GWK60_F06061",1070.32503472164,-2.2499298072266,0.0990538895210862,6.70585645340267e-115,4.6350597825096e-114
"gene-GWK60_F06083",411.492900139636,-2.29081510559078,0.155594969482489,8.72091457865734e-50,3.30728267366529e-49
"gene-GWK60_F06391",519.863544283361,-5.21546598813491,0.226889666702223,2.30259605243577e-117,1.62137285619975e-116
"gene-GWK60_F06435",782.93023991343,-2.91982027146459,0.120656094262807,3.19442569100101e-130,2.47827125880019e-129
"gene-GWK60_F06611",7439.80739338433,2.40663347302236,0.0532648130545165,0,0
"gene-GWK60_F06655",43852.3862920545,-3.6675317250596,0.046681960014866,0,0
"gene-GWK60_F06721",1774.18162761124,-2.85058396381417,0.0851338472873997,1.10726667912884e-246,1.64526065881856e-245
"gene-GWK60_F06941",652.119362158579,-3.57122610084612,0.143626118594036,2.90021100521365e-137,2.33258560969783e-136
"gene-GWK60_F07051",1530.37594389117,4.12605294141266,0.109503927229764,0,0
"gene-GWK60_F07183",229.080669352663,-2.55893860731028,0.208902197360246,2.65495482624599e-35,8.19065242583807e-35
"gene-GWK60_F07315",17616.4080488726,5.30616225190737,0.056566278599818,0,0
"gene-GWK60_F07645",11017.3421090516,3.3786135596891,0.0551235030179146,0,0
"gene-GWK60_F07667",1075.3378469115,-4.51805556799412,0.137456251401982,1.96567438052844e-237,2.81728807672469e-236
"gene-GWK60_F07799",953.037471751498,3.7713696009431,0.125220450144301,5.8184180875872e-200,6.93988189131716e-199
