gene_id	gene_name	Scer.t0000.b2.L001	Scer.t0000.b2.L002	Scer.t0000.b3.L001	Scer.t0000.b3.L002	Scer.t0030.b2.L001	Scer.t0030.b2.L002	Scer.t0030.b4.L001	Scer.t0030.b4.L002	Scer.t0060.b2.L001	Scer.t0060.b2.L002	Scer.t0060.b4.L001	Scer.t0060.b4.L002	Scer.t0090.b2.L001	Scer.t0090.b2.L002	Scer.t0090.b4.L001	Scer.t0090.b4.L002	Scer.t0120.b2.L001	Scer.t0120.b2.L002	Scer.t0120.b4.L001	Scer.t0120.b4.L002	Scer.t0150.b2.L001	Scer.t0150.b2.L002	Scer.t0150.b4.L001	Scer.t0150.b4.L002	Scer.t0180.b2.L001	Scer.t0180.b2.L002	Scer.t0180.b4.L001	Scer.t0180.b4.L002	Scer.t0210.b2.L001	Scer.t0210.b2.L002	Scer.t0210.b4.L001	Scer.t0210.b4.L002	Scer.t0240.b2.L001	Scer.t0240.b2.L002	Scer.t0240.b4.L001	Scer.t0240.b4.L002	Scer.t0360.b2.L001	Scer.t0360.b2.L002	Scer.t0360.b4.L001	Scer.t0360.b4.L002	Scer.t0480.b2.L001	Scer.t0480.b2.L002	Scer.t0480.b4.L001	Scer.t0480.b4.L002
gene-YOR288C	NM_001183707.3	36.004714	43.451713	33.587167	39.534727	65.975471	60.881578	62.915553	56.26799	48.53909	54.780108	51.50729	47.790807	45.477355	47.79988	43.014101	45.227867	56.549857	56.850478	58.302951	59.914959	78.144496	73.878908	75.932539	81.289547	78.831888	79.434061	83.162426	81.332898	88.71922	91.117224	91.837279	85.265166	82.220665	90.260764	87.219158	89.214591	96.989128	100.338421	98.770445	97.157487	69.412541	78.854202	82.043046	80.466603
gene-YOR289W	NM_001183708.1	12.936631	15.389381	15.834872	14.81929	107.7456	95.700036	98.996421	96.052961	50.639896	46.10594	42.604878	46.680565	30.014945	31.462884	25.374919	26.279624	51.185425	59.592595	57.346339	48.062345	143.075397	135.019228	120.425152	117.155434	190.977741	182.892383	192.254106	200.325046	188.097447	207.874029	226.402612	221.7533	225.097743	217.496875	218.075175	208.22748	287.571251	284.227897	285.959256	283.189992	287.4771	294.019141	267.884165	276.734679
gene-YOR290C	NM_001183709.3	21.16861	21.391108	19.381183	20.339609	23.8624	23.938961	24.462295	23.633695	20.844668	21.221984	21.181016	20.088247	22.953086	22.411756	22.688785	25.922708	22.293579	21.05459	14.257504	15.08704	21.77346	22.90658	27.69407	26.993087	26.720427	26.325145	25.253414	25.964297	28.421535	27.484105	26.799437	26.620193	30.512555	30.031459	25.573125	25.44651	29.710029	30.076325	26.821452	27.234732	23.148806	23.654233	18.061274	19.410686
gene-YOR291W	NM_001183710.1	23.546015	22.59685	20.871162	22.662104	38.275003	37.795268	35.793468	35.915318	26.100455	26.786536	25.028267	26.007702	25.430585	25.891596	22.907593	25.118438	23.225416	21.860776	20.640678	19.581534	24.981368	25.174762	22.15137	24.100041	22.369054	22.896929	24.434608	23.078433	19.306344	19.545539	18.055133	17.757308	19.095329	18.530172	18.668855	17.442586	20.163581	21.280649	19.851443	20.751531	25.707379	24.989136	20.660627	19.765095
gene-YOR292C	NM_001183711.3	22.378564	21.81228	19.247013	18.409328	63.33461	63.287054	67.779741	64.884375	32.522606	30.743226	30.886836	32.70068	26.844545	29.878351	30.433731	32.202254	39.655657	34.202747	38.382345	32.789754	55.093326	55.895579	49.91592	49.8517	67.765181	63.800037	73.64966	74.341718	72.522356	70.696873	67.562246	63.045802	75.776108	78.026058	78.664896	73.140915	108.621303	106.035742	100.600894	97.353379	124.21375	127.278316	109.776508	118.592587
gene-YOR293C-A	NM_001184669.3	0	0	5.155334	0	0	0	0	0	0	0	4.555411	0	0	0	4.281842	4.327408	0	3.868376	0	0	0	0	0	0	0	0	0	0	0	0	0	4.756138	0	0	0	0	0	0	0	0	0	0	0	0
gene-YOR293W	NM_001183712.1	3102.597152	3209.743675	3100.182372	3066.70317	1572.902999	1470.337971	1678.15198	1608.117242	2376.26112	2384.448489	2319.276225	2293.848778	2894.170967	2991.323621	2886.385867	2822.328294	2666.505322	2671.611638	2793.038833	2825.597001	1527.527817	1569.345289	1649.872131	1599.384406	803.829368	880.788485	838.131052	742.618486	554.846163	513.02277	542.372232	516.456264	285.689941	277.719944	363.44473	326.867054	187.216501	186.209835	188.532231	174.131801	388.852465	371.906449	425.477482	414.393581
gene-YOR294W	NM_001183713.1	129.947954	127.29889	119.578022	126.030511	11.795954	14.361455	12.112572	14.040779	125.683756	126.780678	122.826506	143.975393	133.109345	127.458832	140.231266	139.041692	66.662485	73.993635	75.963253	72.198708	18.631431	27.04408	42.477528	38.953172	16.38927	13.29553	9.970757	11.717845	21.012354	25.329174	25.8232	23.724966	24.920068	24.186048	31.432829	27.932143	45.051132	51.32647	52.686677	58.424512	95.748749	101.869005	98.519614	106.657415
gene-YOR295W	NM_001183714.3	20.135804	25.180221	15.323313	21.541795	13.498609	12.1482	14.77725	15.353008	24.543375	20.641769	21.649049	25.442034	25.713575	22.899899	26.212442	26.584686	17.68345	21.693232	23.170543	17.373302	12.578873	17.065855	15.096476	20.345236	12.604969	8.889355	9.348291	13.159573	16.009969	14.215549	15.149602	16.598208	17.439358	19.754783	18.58472	16.93657	21.66533	22.347418	22.765622	21.135158	29.756994	33.199893	30.850481	24.804812
gene-YOR296W	NM_001183715.1	11.900835	11.175785	10.156603	12.101969	12.956051	13.59823	12.407799	11.394465	13.38373	14.354802	15.03416	14.518113	12.046624	13.352844	12.060564	12.163926	10.271341	9.909147	9.184432	8.50617	10.189741	10.98733	11.955472	10.643845	9.848951	10.470061	9.113891	9.873146	10.627182	12.160021	10.587589	10.234049	9.618246	10.690826	11.343547	10.179907	12.497228	11.78444	11.87957	11.293201	11.687736	11.998733	12.211304	11.284566
