TXNAME	GENEID
orf19.7250-T	orf19.7250
orf19.7252-T	orf19.7252
orf19.7255-T	orf19.7255
orf19.7256-T	orf19.7256
orf19.7258-T	orf19.7258
orf19.7264-T	orf19.7264
orf19.7265-T	orf19.7265
orf19.7266-T	orf19.7266
orf19.7270-T	orf19.7270
orf19.7271-T	orf19.7271
orf19.6114-T	orf19.6114
orf19.6113-T	orf19.6113
orf19.6110-T	orf19.6110
orf19.6102-T	orf19.6102
orf19.6100-T	orf19.6100
orf19.6096-T	orf19.6096
orf19.6094-T	orf19.6094
orf19.6091-T	orf19.6091
orf19.6090-T	orf19.6090
orf19.6084-T	orf19.6084
orf19.6083-T	orf19.6083
orf19.6082-T	orf19.6082
orf19.6080-T	orf19.6080
tT(AGU)6-T	tT(AGU)6
orf19.6078.1-T	orf19.6078.1
orf19.6075-T	orf19.6075
orf19.6073-T	orf19.6073
orf19.6071-T	orf19.6071
orf19.6066-T	orf19.6066
orf19.6062.3-T	orf19.6062.3
orf19.6061-T	orf19.6061
orf19.6060-T	orf19.6060
orf19.6059-T	orf19.6059
orf19.6058-T	orf19.6058
orf19.6055-T	orf19.6055
orf19.6054-T	orf19.6054
orf19.6049-T	orf19.6049
orf19.6041-T	orf19.6041
orf19.6040-T	orf19.6040
orf19.6039-T	orf19.6039
orf19.6038-T	orf19.6038
orf19.6034-T	orf19.6034
orf19.6033-T	orf19.6033
orf19.6032-T	orf19.6032
orf19.6031-T	orf19.6031
orf19.6029-T	orf19.6029
orf19.6028-T	orf19.6028
orf19.6026-T	orf19.6026
orf19.6022-T	orf19.6022
orf19.6011-T	orf19.6011
orf19.6010-T	orf19.6010
orf19.6009-T	orf19.6009
orf19.3288-T	orf19.3288
orf19.3289-T	orf19.3289
orf19.3293-T	orf19.3293
orf19.3295-T	orf19.3295
orf19.3297-T	orf19.3297
orf19.3300-T	orf19.3300
orf19.3302-T	orf19.3302
orf19.3303-T	orf19.3303
orf19.3304-T	orf19.3304
orf19.3305-T	orf19.3305
orf19.3306-T	orf19.3306
orf19.3307-T	orf19.3307
orf19.3310-T	orf19.3310
orf19.3314-T	orf19.3314
orf19.3317-T	orf19.3317
orf19.3318-T	orf19.3318
orf19.3322-T	orf19.3322
orf19.3323-T	orf19.3323
orf19.3324-T	orf19.3324
orf19.3325-T	orf19.3325
orf19.3325.3-T	orf19.3325.3
orf19.3327-T	orf19.3327
orf19.3328-T	orf19.3328
orf19.3329-T	orf19.3329
orf19.3330-T	orf19.3330
orf19.3330.3-T	orf19.3330.3
orf19.3334-T	orf19.3334
orf19.3340-T	orf19.3340
orf19.3341-T	orf19.3341
orf19.3347-T	orf19.3347
orf19.3349-T	orf19.3349
orf19.3351-T	orf19.3351
orf19.3352-T	orf19.3352
tS(UGA)1-T	tS(UGA)1
orf19.3356-T	orf19.3356
orf19.3357-T	orf19.3357
orf19.3358-T	orf19.3358
snR5a-T	snR5a
orf19.4546-T	orf19.4546
orf19.4543-T	orf19.4543
orf19.4542-T	orf19.4542
orf19.4540-T	orf19.4540
orf19.4539-T	orf19.4539
orf19.4538-T	orf19.4538
orf19.4536-T	orf19.4536
orf19.4535-T	orf19.4535
orf19.4534-T	orf19.4534
orf19.4533-T	orf19.4533
orf19.4529-T	orf19.4529
orf19.4528-T	orf19.4528
orf19.4524-T	orf19.4524
orf19.4522-T	orf19.4522
orf19.3661-T	orf19.3661
orf19.3663-T	orf19.3663
orf19.3666-T	orf19.3666
orf19.3668-T	orf19.3668
orf19.3669-T	orf19.3669
orf19.3670-T	orf19.3670
orf19.3671-T	orf19.3671
orf19.3674-T	orf19.3674
orf19.3677-T	orf19.3677
orf19.3679-T	orf19.3679
orf19.3683-T	orf19.3683
orf19.3684-T	orf19.3684
orf19.3685-T	orf19.3685
