tx	gene_id	Calb.t0000.b1.L001	Calb.t0000.b1.L002	Calb.t0000.b4.L001	Calb.t0000.b4.L002	Calb.t0015.b1.L001	Calb.t0015.b1.L002	Calb.t0015.b2.L001	Calb.t0015.b2.L002	Calb.t0030.b1.L001	Calb.t0030.b1.L002	Calb.t0030.b2.L001	Calb.t0030.b2.L002	Calb.t0045.b1.L001	Calb.t0045.b1.L002	Calb.t0045.b2.L001	Calb.t0045.b2.L002	Calb.t0060.b1.L001	Calb.t0060.b1.L002	Calb.t0060.b2.L001	Calb.t0060.b2.L002	Calb.t0090.b1.L001	Calb.t0090.b1.L002	Calb.t0090.b2.L001	Calb.t0090.b2.L002	Calb.t0120.b1.L001	Calb.t0120.b1.L002	Calb.t0120.b4.L001	Calb.t0120.b4.L002	Calb.t0150.b1.L001	Calb.t0150.b1.L002	Calb.t0150.b4.L001	Calb.t0150.b4.L002	Calb.t0180.b1.L001	Calb.t0180.b1.L002	Calb.t0180.b2.L001	Calb.t0180.b2.L002	Calb.t0210.b1.L001	Calb.t0210.b1.L002	Calb.t0210.b4.L001	Calb.t0210.b4.L002	Calb.t0240.b1.L001	Calb.t0240.b1.L002	Calb.t0240.b3.L001	Calb.t0240.b3.L002	Calb.t0360.b1.L001	Calb.t0360.b1.L002	Calb.t0360.b3.L001	Calb.t0360.b3.L002	Calb.t0480.b1.L001	Calb.t0480.b1.L002	Calb.t0480.b2.L001	Calb.t0480.b2.L002
orf19.2259-T	orf19.2259	88.567335	96.254242	83.345431	77.835192	127.834043	118.486106	108.05394	108.939105	131.09453	128.173267	120.950869	129.163191	128.812715	131.567884	133.491218	130.135713	130.463008	131.21373	134.125372	133.114666	119.057134	116.415232	113.499025	112.413228	98.908355	91.838865	86.150369	84.732706	74.253132	74.558397	71.114049	70.126048	63.030905	66.023809	67.039794	71.081244	73.23426	59.67466	75.68944	71.536496	58.770695	61.371929	67.106126	57.354043	51.618817	51.160329	55.259712	55.629495	59.488589	54.125571	58.87398	59.53029
orf19.2260-T	orf19.2260	27.969953	29.721206	28.889454	28.065979	45.708334	42.432045	38.442356	41.873453	41.953936	46.243498	44.373311	42.456704	37.224375	41.234453	40.123101	38.736873	32.218421	34.494942	34.921053	31.59192	29.73089	29.836247	32.179068	33.038876	36.079423	33.599321	32.457619	35.761873	43.83594	47.753848	45.287551	40.967826	49.162208	49.03023	46.720236	45.289844	47.292597	49.785123	52.111988	54.405291	58.560886	54.697073	53.8077	54.468794	52.36138	55.800173	65.109899	59.020425	53.01842	52.558591	52.10769	53.81998
orf19.2261-T	orf19.2261	58.623587	57.791231	58.609687	57.420704	40.463056	46.201367	39.126658	43.07118	28.039175	31.021106	29.862864	29.024698	22.770298	23.892229	24.565619	22.819662	21.751531	20.661715	24.670767	25.400607	35.691693	41.448536	38.152322	41.474409	78.491891	79.245529	83.223002	75.168863	114.263811	111.232113	120.345848	112.275718	130.076981	114.080392	134.464294	129.315632	114.742246	132.772574	127.374806	126.4093	111.388818	123.275386	127.002753	127.873578	118.034771	114.443202	102.344166	113.862429	91.232496	101.308658	104.691778	97.484399
orf19.2262-T	orf19.2262	31.688667	30.221078	31.10293	32.354115	28.976824	30.859714	32.350956	30.580281	10.994632	10.667695	11.920154	11.88944	8.934853	6.932328	8.170381	8.212331	6.657836	8.826336	8.78387	10.139964	17.125487	14.979579	16.769763	18.12891	19.512213	20.332168	21.569471	20.825975	22.154444	25.529867	28.315563	28.167917	29.422485	26.895241	25.642197	26.205962	33.146818	31.059695	29.129238	32.196642	31.475556	38.470272	32.796191	35.086326	44.553556	36.746037	41.245398	43.453885	45.433761	50.681157	46.757998	44.26144
orf19.2263-T	orf19.2263	137.549254	128.145381	122.509934	120.711546	57.96402	70.122368	60.225058	78.421667	46.924886	46.051355	51.790965	46.384517	51.928791	49.561567	51.665893	46.391251	59.2313	68.593867	69.312701	60.52366	77.439064	68.52657	60.865103	76.029246	70.44187	80.460281	77.028686	73.796705	85.979256	68.598475	78.29472	87.367746	73.562858	76.669999	87.829154	73.907621	89.522323	91.794349	105.359605	88.725071	90.133546	99.684681	89.671421	84.639835	87.466108	90.908774	96.938954	104.021825	82.249907	90.818258	88.61814	90.607277
orf19.2264-T	orf19.2264	32.205081	32.381638	33.654188	31.151369	46.361691	43.641138	47.622119	45.801244	41.89537	42.154838	40.234677	40.563819	35.353744	35.286972	34.477256	31.054071	24.632526	24.900595	25.307356	26.57756	25.92874	26.342535	26.820056	23.175161	28.300194	26.328902	31.651286	31.0155	43.138964	38.377935	53.372675	60.959319	45.932101	41.154256	48.081666	41.443004	46.084844	43.282886	46.37288	52.312032	44.791923	44.988592	50.10124	44.937501	43.396691	42.112274	39.881062	43.03909	46.280248	43.354227	46.465152	50.59416
orf19.2265-T	orf19.2265	101.822278	105.800158	113.200705	114.901511	87.941748	93.448606	85.297553	89.733822	75.638348	80.872391	75.671084	78.5636	77.386338	75.888179	78.764804	77.687269	81.766046	78.647081	84.825143	82.306964	96.319087	93.700144	94.796656	95.029113	87.512078	97.013727	107.241342	98.873442	109.284069	112.00334	98.012351	104.967981	105.093573	101.784348	83.037528	93.638268	90.451612	87.366731	87.255703	86.013754	88.562954	98.228449	80.828663	87.036622	70.829704	78.155995	71.918225	70.473332	68.317555	67.705991	69.259321	71.253279
orf19.2266-T	orf19.2266	23.245717	19.304519	21.940684	22.454524	18.785942	16.750627	19.35628	17.941671	23.013844	22.866836	19.530931	21.821917	20.95994	22.195738	19.375831	19.951816	16.942015	17.312262	18.646416	19.007885	22.913216	22.832641	23.968387	23.585216	23.342843	22.487928	27.646944	24.631194	32.559203	30.658085	29.491322	31.390387	33.683553	34.350218	29.486803	29.82033	30.785198	30.467203	28.010873	29.124611	30.937867	32.942858	33.254696	28.355052	30.211451	30.699249	24.751982	26.107198	25.903135	30.791285	32.448391	27.34177
orf19.2267-T	orf19.2267	130.840606	134.629966	141.666912	123.296953	67.795043	69.266396	66.735421	71.853503	147.266224	158.934282	152.256082	148.883602	120.84058	122.190742	122.942966	133.029432	109.555009	107.171144	99.013222	107.202555	133.004873	142.345774	145.403135	145.179892	159.737896	155.390095	154.189876	145.105244	146.145893	145.4889	151.884999	145.413427	150.911965	146.701627	134.709754	136.170308	132.421998	143.134941	129.704285	148.515692	129.285602	120.447033	132.549679	135.896271	114.218378	102.842926	110.660138	107.87185	119.279741	112.667054	90.536384	95.861641
orf19.2268-T	orf19.2268	169.053498	166.804548	175.583782	180.076523	430.480077	429.320927	420.297626	424.05126	121.415174	124.693068	123.409598	127.698502	105.127289	102.607005	109.760288	113.268895	115.064062	116.856148	126.492959	123.445378	173.219964	170.864974	167.428903	173.316804	204.454974	200.111152	229.348041	232.12438	281.230276	282.651849	276.34004	271.106722	316.266161	319.141008	295.776714	287.320875	307.073051	304.254391	303.797388	301.160725	330.133307	328.868737	318.547572	322.895941	317.4192	324.96832	335.601054	332.798714	317.006174	315.016846	354.687359	353.232514
