"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gene-YNL036W",2594.25272217549,3.30378787972336,0.784045763809805,1.07341669413222e-06,5.89008029061236e-06
"gene-YNR034W-A",93.3585728351221,2.10202046497258,0.323326130179089,5.74855679372344e-12,4.89685843589982e-11
"gene-YOL047C",159.939337877032,2.14341162827892,0.245417584096298,1.86175944111939e-19,2.29910087862259e-18
"gene-YOL052C-A",140.45112246013,3.07056028052143,0.297231975363709,4.81048370504536e-26,7.86148070710401e-25
"gene-YOL084W",641.936755352478,2.7908723681829,0.137469828428887,9.33730844546231e-93,6.76561120373619e-91
"gene-YOR120W",1372.35864619571,2.59355199173471,0.100167420228905,5.96339206709825e-149,7.79648693294106e-147
"gene-YOR173W",1042.47660077273,2.34039069632743,0.108297400937456,1.02431100222352e-104,8.10553469391084e-103
"gene-YOR185C",1618.82527344114,2.20503252437739,0.0953363809508463,1.79177702815056e-119,1.76651590939303e-117
"gene-YOR313C",46.0532963710625,-2.29947750226182,0.461728376694036,3.88094577378042e-08,2.46723127732721e-07
"gene-YOR348C",413.706963717789,2.89341868693138,0.174436132663826,7.48887009009765e-63,3.33615294235906e-61
"gene-YOR374W",3775.86144340461,2.51735324743262,0.0827627173346531,2.33671445076426e-204,5.20481507662825e-202
"gene-YPL019C",5140.46908287539,2.47004738924268,0.0610762605418407,0,0
"gene-YPL095C",1225.31986581977,-2.13558114131666,0.0951132082464928,8.84153577462856e-113,8.30828064822128e-111
"gene-YPL186C",430.425873281909,3.02040143316417,0.173316066883031,3.77364961297252e-69,1.92328209935735e-67
"gene-YPL223C",211.983871859064,3.64155886659483,0.263348788757295,1.88870141409343e-44,5.56796583546955e-43
"gene-YPL240C",7941.76248927839,2.46311092112955,0.0573298473693649,0,0
"gene-YPL281C",57.8078552491322,2.57442631843275,0.43351172211172,2.14581497983729e-10,1.62530620765006e-09
